capture_id,research_date,role,source_state,destination_state,transition_count,transition_probability
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q0,Q0,13699,0.6609253630530226
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q0,Q1,7028,0.33907463694697737
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q0,Q2,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q0,Q3,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q0,Q4,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q0,Q5,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q1,Q0,7027,0.4601231011000524
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q1,Q1,8245,0.5398768988999476
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q1,Q2,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q1,Q3,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q1,Q4,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q1,Q5,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q2,Q0,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q2,Q1,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q2,Q2,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q2,Q3,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q2,Q4,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q2,Q5,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q3,Q0,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q3,Q1,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q3,Q2,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q3,Q3,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q3,Q4,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q3,Q5,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q4,Q0,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q4,Q1,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q4,Q2,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q4,Q3,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q4,Q4,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q4,Q5,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q5,Q0,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q5,Q1,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q5,Q2,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q5,Q3,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q5,Q4,0,0.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,Q5,Q5,0,0.0
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q0,Q0,334,0.20888055034396497
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q0,Q1,508,0.31769856160100063
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q0,Q2,91,0.056910569105691054
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q0,Q3,203,0.12695434646654158
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q0,Q4,240,0.150093808630394
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q0,Q5,223,0.13946216385240776
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q1,Q0,550,0.1744370440849984
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q1,Q1,1106,0.35077703774183316
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q1,Q2,177,0.056137012369172214
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q1,Q3,350,0.11100539169045354
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q1,Q4,612,0.19410085632730734
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q1,Q5,358,0.11354265778623533
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q2,Q0,75,0.14534883720930233
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q2,Q1,231,0.4476744186046512
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q2,Q2,36,0.06976744186046512
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q2,Q3,43,0.08333333333333333
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q2,Q4,67,0.1298449612403101
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q2,Q5,64,0.12403100775193798
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q3,Q0,229,0.22606120434353405
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q3,Q1,361,0.35636722606120436
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q3,Q2,57,0.0562685093780849
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q3,Q3,133,0.13129318854886476
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q3,Q4,97,0.09575518262586377
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q3,Q5,136,0.13425468904244817
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q4,Q0,215,0.13362336855189558
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q4,Q1,525,0.3262896208825357
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q4,Q2,80,0.049720323182100686
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q4,Q3,142,0.08825357364822871
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,Q4,Q4,504,0.3132380360472343
