research_date,state,run_count,duration_p50_ms,duration_p90_ms,duration_p99_ms
2026-07-29,Q0,8293,400.0,1200.0,3200.0
2026-07-29,Q1,9076,200.0,800.0,2200.0
2026-07-29,Q2,480,200.0,200.0,400.0
2026-07-29,Q3,880,200.0,400.0,600.0
2026-07-29,Q4,1105,200.0,400.0,1000.0
2026-07-29,Q5,924,200.0,400.0,800.0
2026-07-30,Q0,11006,200.0,400.0,800.0
2026-07-30,Q1,10683,200.0,600.0,1600.0
2026-07-30,Q2,3751,200.0,200.0,400.0
2026-07-30,Q3,11414,200.0,400.0,800.0
2026-07-30,Q4,832,200.0,200.0,537.9999999999882
2026-07-30,Q5,13302,200.0,600.0,1000.0
2026-08-03,Q0,13344,200.0,1000.0,3600.0
2026-08-03,Q1,16250,200.0,400.0,1000.0
2026-08-03,Q2,4065,200.0,200.0,400.0
2026-08-03,Q3,7831,200.0,400.0,800.0
2026-08-03,Q4,7971,200.0,600.0,1200.0
2026-08-03,Q5,7122,200.0,400.0,800.0
2026-08-04,Q0,5466,200.0,400.0,600.0
2026-08-04,Q1,6521,200.0,400.0,800.0
2026-08-04,Q2,2901,200.0,200.0,400.0
2026-08-04,Q3,5567,200.0,400.0,800.0
2026-08-04,Q4,2291,200.0,400.0,800.0
2026-08-04,Q5,5613,200.0,400.0,800.0
2026-08-07,Q0,11060,200.0,400.0,1000.0
2026-08-07,Q1,14999,200.0,600.0,1000.0
2026-08-07,Q2,3344,200.0,200.0,400.0
2026-08-07,Q3,7771,200.0,400.0,600.0
2026-08-07,Q4,7486,200.0,600.0,1029.9999999999272
2026-08-07,Q5,7608,200.0,400.0,800.0
2026-08-24,Q0,10068,200.0,400.0,800.0
2026-08-24,Q1,16817,200.0,600.0,1200.0
2026-08-24,Q2,2686,200.0,200.0,400.0
2026-08-24,Q3,6160,200.0,400.0,600.0
2026-08-24,Q4,7822,200.0,400.0,800.0
2026-08-24,Q5,7255,200.0,400.0,600.0
2026-08-25,Q0,11294,200.0,400.0,800.0
2026-08-25,Q1,15802,200.0,600.0,1000.0
2026-08-25,Q2,2224,200.0,200.0,400.0
2026-08-25,Q3,5832,200.0,400.0,600.0
2026-08-25,Q4,9696,200.0,600.0,1000.0
2026-08-25,Q5,7128,200.0,400.0,600.0
2026-08-26,Q0,16383,200.0,600.0,11800.0
2026-08-26,Q1,25158,200.0,600.0,1000.0
2026-08-26,Q2,3813,200.0,200.0,400.0
2026-08-26,Q3,7046,200.0,400.0,600.0
2026-08-26,Q4,19586,200.0,800.0,1600.0
2026-08-26,Q5,6895,200.0,400.0,600.0
2026-08-27,Q0,5611,200.0,400.0,800.0
2026-08-27,Q1,7836,200.0,600.0,1000.0
2026-08-27,Q2,1718,200.0,200.0,400.0
2026-08-27,Q3,3292,200.0,400.0,600.0
2026-08-27,Q4,5153,200.0,600.0,1200.0
2026-08-27,Q5,3825,200.0,400.0,800.0
