attempt,event_sequence,phase,source_status,source_reason,symbol,target_symbol,horizon_ms,signal_ts_ms,source_age_ms,hl_mid_px,binance_mid_px,basis_mid_ticks,lead_move_ticks,fair_mid_px,hl_public_state_seq,hl_l2_state_seq,binance_state_seq,binance_source,inference_scope
1,194,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784187149654,21,64439.5,64425.45,-14.05,0.0,64439.5,195,195,1,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,833,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187329215,304,,,,,,843,843,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,878,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187344328,441,,,,,,891,891,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1009,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187370765,761,,,,,,1027,1027,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1020,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187373606,459,,,,,,1041,1041,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1223,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187421514,426,,,,,,1248,1248,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1540,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187499209,294,,,,,,1570,1570,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1541,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187499209,829,,,,,,1573,1573,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1605,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784187517540,250,64266.5,64248.45,-18.05,0.3000000000029104,64266.8,1639,1639,9,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1924,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187610767,463,,,,,,1959,1959,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,2054,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187636406,492,,,,,,2090,2090,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,2270,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187693209,261,,,,,,2310,2310,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,2304,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784187701096,86,64199.5,64189.45,-10.05,-20.5,64179.0,2346,2346,13,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,2331,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784187710161,223,64209.5,64197.350000000006,-12.15,7.900000000008731,64217.40000000001,2374,2374,14,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,2665,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187799002,410,,,,,,2711,2711,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,2924,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784187868037,138,64219.5,64204.05,-15.45,-12.80000000000291,64206.7,2972,2972,16,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,2926,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784187869017,216,64210.5,64202.649999999994,-7.85,-1.4000000000087311,64209.09999999999,2975,2975,17,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,2945,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187873833,320,,,,,,2995,2995,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,3029,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784187900256,455,,,,,,3080,3080,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,3070,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784187911361,49,64209.5,64196.850000000006,-12.65,-3.2999999999883585,64206.20000000001,3123,3123,20,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,3191,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784187942539,232,64227.5,64215.850000000006,-11.65,19.0,64246.5,3250,3250,21,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
