claim_id,reject_unless_requirement_met,current_status,reject_message
fill_probability_proof,separate accepted fill-outcome evidence contract and labels,unproven,"Reject fill probability proof claims from T010/T011 proxy artifacts."
queue_priority_proof,separate accepted queue/priority source contract,unproven,"Reject exact queue position or queue priority proof claims from public depth proxy."
post_only_reject_proof,separate accepted exchange response evidence contract,unproven,"Reject exchange post-only reject behavior proof claims from public book feasibility proxy."
cancel_fill_race_proof,separate accepted lifecycle timing evidence contract,unproven,"Reject cancel-fill race proof claims without cancel/fill source-path labels."
fees_rebates_spread_capture_proof,separate accepted economics evidence contract,unproven,"Reject realized fees, rebates, spread capture, or PnL proof claims from hypothetical spread proxy."
inventory_lifecycle_proof,separate accepted inventory/account-state source contract,unproven,"Reject inventory lifecycle proof claims from public proxy artifacts."
real_order_lifecycle_proof,separate accepted real-order lifecycle source contract,unproven,"Reject real order lifecycle proof claims from T010/T011 proxy artifacts."
maker_execution_viability_proof,all required execution gaps separately proven by accepted tasks,unproven,"Reject maker execution viability proof claims from this requirements contract."
live_readiness_proof,separate live-safety and execution evidence chain accepted by QA,unproven,"Reject live readiness claims."
default_on_readiness_proof,separate promotion chain accepted by QA,unproven,"Reject default-on readiness claims."
tiny_live_readiness_proof,separate tiny-live design and prerequisites accepted by QA,unproven,"Reject tiny-live readiness claims."
deployment_readiness_proof,separate deployment readiness task accepted by QA,unproven,"Reject deployment readiness claims."
promotion_proof,separate promotion decision accepted by QA and controller,unproven,"Reject promotion claims."
