research_date,direction,anchor_count,precursor_delay_ms_p50,precursor_delay_ms_p90,precursor_delay_ms_p99
2026-07-29,1,3202,10.2301025,28.1621753,92.95281973999981
2026-07-29,-1,2927,10.321415,28.149697800000002,82.07531181999997
2026-07-30,1,18278,11.0983995,27.289884999999998,61.02217880999991
2026-07-30,-1,7645,22.439594,50.8031416,102.66729243999988
2026-08-03,1,22363,9.015806,27.961843000000002,94.07623256000005
2026-08-03,-1,20668,8.918751,32.996932900000004,90.6127810499986
2026-08-04,1,12237,13.099476,27.9372292,72.8005287999999
2026-08-04,-1,9726,16.839204000000002,43.1459745,85.00727875
2026-08-07,1,26487,8.47655,27.968965600000004,82.02863544
2026-08-07,-1,24808,9.264325,29.798588399999996,84.36947042000003
2026-08-24,1,25707,3.955286,28.084766400000003,88.84625727999992
2026-08-24,-1,25136,5.702764,28.424184,85.54402500000056
2026-08-25,1,24152,3.6449695,28.0067414,85.94063214000008
2026-08-25,-1,24530,4.3710695,28.194271400000005,90.60464375999996
2026-08-26,1,33012,0.0,27.9316428,85.98455433999999
2026-08-26,-1,32979,0.0,27.9336592,83.92743274000001
2026-08-27,1,13279,0.545044,27.9539422,95.95570815999989
2026-08-27,-1,12932,2.6798015,28.161413,93.63752447000027
