capture_id,research_date,role,component,eligible_count,finite_local_scale_count,positive_local_scale_count,local_scale_p10,local_scale_p50,local_scale_p90,global_scale_floor,floor_applied_share
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,dep_up,359996,358471,0,nan,nan,nan,0.002066016503042915,1.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,dep_down,359996,358471,0,nan,nan,nan,0.008699308812971731,1.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,trade_up,359996,356949,269565,0.5162553787231445,1.1713378429412842,3.3358044624328613,0.5162554061665655,0.32041832306576007
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,trade_down,359996,356949,269565,0.5162553787231445,1.1713378429412842,3.3358044624328613,0.5162554061665655,0.32041832306576007
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,ofi_up,359996,358471,0,nan,nan,nan,0.012274969470135738,1.0
2026-07-29_c092d6b4402c,2026-07-29,historical_normalization_calibration,ofi_down,359996,358471,0,nan,nan,nan,0.012274969470135738,1.0
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,dep_up,89989,88464,81261,0.0020660164300352335,0.028838690370321274,0.08749283105134964,0.002066016503042915,0.17355082293362273
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,dep_down,89989,88464,88464,0.008699309080839157,0.04125634580850601,0.20560790598392487,0.008699308812971731,0.09995026225357208
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,trade_up,89989,86941,2573,0.4941932260990143,4.694835662841797,7.536447048187256,0.5162554061665655,0.9733957511415787
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,trade_down,89989,86941,2573,0.4941932260990143,4.694835662841797,7.536447048187256,0.5162554061665655,0.9733957511415787
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,ofi_up,89989,88464,88464,0.012274969182908546,0.05261697992682457,0.1505211889743805,0.012274969470135738,0.10000678241996744
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,ofi_down,89989,88464,88464,0.012274969182908546,0.05261697992682457,0.1505211889743805,0.012274969470135738,0.10000678241996744
2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,dep_up,89987,88462,88462,0.10268017277121544,1.7606104612350464,2.7188671588897706,0.002066016503042915,0.0
2026-07-30_2cc63928e27f,2026-07-30,historical_method_development,dep_down,89987,88462,88462,0.2182037264108658,2.025313138961792,3.0252745151519775,0.008699308812971731,0.0
