raw_seq,line_no,channel,coin,local_ts,event_ts,bid_topn_px,bid_topn_ticks,bid_topn_qtys,bid_topn_n,ask_topn_px,ask_topn_ticks,ask_topn_qtys,ask_topn_n,session_id,connection_attempt,recovery_crossed
0,1,l2Book,BTC,1737918843893903000,1737918843542000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03622|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.34472|0.0001|0.0001|0.0001|0.12704,13|1|1|1|3,,,false
1,2,l2Book,BTC,1737918843907660000,1737918843542000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03622|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.34472|0.0001|0.0001|0.0001|0.12704,13|1|1|1|3,,,false
3,4,l2Book,BTC,1737918844508675000,1737918844035000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03622|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.34472|0.0001|0.0001|0.0001|0.12704,13|1|1|1|3,,,false
4,5,l2Book,BTC,1737918845045647000,1737918844579000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03622|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.34472|0.0001|0.0001|0.0001|0.12704,13|1|1|1|3,,,false
5,6,l2Book,BTC,1737918845532675000,1737918845118000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03622|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.34472|0.0001|0.0001|0.0001|0.12704,13|1|1|1|3,,,false
6,7,l2Book,BTC,1737918846031217000,1737918845645000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.27523|0.1428|0.16179|0.38082|3.94526,6|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.34472|0.0001|0.0001|0.0001|0.12704,13|1|1|1|3,,,false
7,8,l2Book,BTC,1737918846845870000,1737918846191000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03623|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.49999|0.0001|0.0001|0.0001|0.12704,14|1|1|1|3,,,false
8,9,l2Book,BTC,1737918847247253000,1737918846798000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03623|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.49999|0.0001|0.0001|0.0001|0.12704,14|1|1|1|3,,,false
10,11,l2Book,BTC,1737918847814799000,1737918847412000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03623|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,4.73651|0.0001|0.0001|0.0001|0.12704,12|1|1|1|3,,,false
11,12,l2Book,BTC,1737918848414759000,1737918848015000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03623|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,5.48851|0.0001|0.0001|0.0001|0.12704,14|1|1|1|3,,,false
12,13,l2Book,BTC,1737918849031644000,1737918848619000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03623|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,7.48174|0.0001|0.0001|0.0001|0.12704,16|1|1|1|3,,,false
13,14,l2Book,BTC,1737918849732767000,1737918849222000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03623|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,7.48174|0.0001|0.0001|0.0001|0.12704,16|1|1|1|3,,,false
14,15,l2Book,BTC,1737918850346993000,1737918849824000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03623|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,7.48174|0.0001|0.0001|0.0001|0.12704,16|1|1|1|3,,,false
15,16,l2Book,BTC,1737918850838067000,1737918850460000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03623|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,5.48851|0.0001|0.0001|0.0001|0.12704,14|1|1|1|3,,,false
16,17,l2Book,BTC,1737918851449700000,1737918850979000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,3.03623|0.1428|0.16179|0.38082|3.94526,5|1|2|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,7.47004|0.0001|0.0001|0.0001|0.12704,16|1|1|1|3,,,false
17,18,l2Book,BTC,1737918852194486000,1737918851586000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.12468|0.1428|0.16179|0.38082|1.02102,4|1|2|1|9,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,7.47004|0.0001|0.0001|0.0001|0.12704,16|1|1|1|3,,,false
18,19,l2Book,BTC,1737918852707518000,1737918852192000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.36345|0.1428|0.1428|0.38082|3.94524,5|1|1|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,7.47004|0.0001|0.0001|0.0001|0.12704,16|1|1|1|3,,,false
19,20,l2Book,BTC,1737918853261030000,1737918852872000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.36404|0.1428|0.1428|0.38082|3.94524,6|1|1|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.71804|0.0001|0.0001|0.0001|0.12704,14|1|1|1|3,,,false
21,22,l2Book,BTC,1737918853946562000,1737918853474000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.36404|0.1428|0.1428|0.38082|3.94524,6|1|1|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.69951|0.0001|0.0001|0.0001|0.12704,14|1|1|1|3,,,false
22,23,l2Book,BTC,1737918854491974000,1737918854014000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.12527|0.1428|0.1428|0.38082|3.94524,5|1|1|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.69951|0.0001|0.0001|0.0001|0.12704,14|1|1|1|3,,,false
23,24,l2Book,BTC,1737918855095282000,1737918854622000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.12468|0.1428|0.1428|0.38082|3.94524,4|1|1|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,7.33095|0.0001|0.0001|0.0001|0.12704,16|1|1|1|3,,,false
24,25,l2Book,BTC,1737918855774275000,1737918855224000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.12468|0.1428|0.1428|0.38082|3.94524,4|1|1|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,5.46998|0.0001|0.0001|0.0001|0.12704,14|1|1|1|3,,,false
25,26,l2Book,BTC,1737918856282130000,1737918855827000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.12468|0.1428|0.1428|0.38082|3.94524,4|1|1|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,4.71798|0.0001|0.0001|0.0001|0.12704,12|1|1|1|3,,,false
26,27,l2Book,BTC,1737918857024654000,1737918856304000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.12468|0.1428|0.1428|0.38082|3.94524,4|1|1|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.69953|0.0001|0.0001|0.0001|0.12704,14|1|1|1|3,,,false
27,28,l2Book,BTC,1737918857413724000,1737918856834000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.12468|0.1428|0.1428|0.38082|3.94524,4|1|1|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,6.82153|0.0001|0.0001|0.0001|0.12704,15|1|1|1|3,,,false
29,30,l2Book,BTC,1737918857926317000,1737918857436000000,105055.0|105054.0|105053.0|105051.0|105050.0,1050550|1050540|1050530|1050510|1050500,0.12432|0.1428|0.1428|0.38082|3.94524,4|1|1|1|10,105056.0|105057.0|105058.0|105059.0|105062.0,1050560|1050570|1050580|1050590|1050620,7.45153|0.0001|0.0001|0.0001|0.12704,16|1|1|1|3,,,false
