attempt,event_sequence,retry_after_post_only_reject,source_channel,source_event_exchange_time_ms,open_orders_before_count,post_open_orders_public_state_seq,post_open_orders_l2_state_seq,post_open_orders_state_observed_after_end,guard_status,guard_reason,fair_mid_px,quote_px,edge_ticks,signal_age_ms,fee_buffer_ticks,adverse_selection_buffer_ticks,edge_gate_status,edge_gate_reason,submit_intent_bid,submit_intent_ask,side,limit_px,size_btc,notional_usdc,post_only_tif,order_endpoint_called,order_status_types,post_only_reject,fill_count_after_attempt,maker_fill_count_after_attempt,tracked_ref_count,cancel_endpoint_called,final_open_orders_count_after_attempt,shutdown_proof_status,quote_aging_guard_status,quote_aging_guard_reason,skip_reason
1,28,False,trades,1784188306406,0,29,29,True,edge_gate_block,edge_below_required_buffer,64142.5,64142.0,0.5,161,2.0,5.0,block,edge_below_required_buffer,64142.0,64143.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
1,85,False,trades,1784188323282,0,87,87,True,pass,,64187.3,64169.0,18.3,231,2.0,5.0,pass,,64169.0,64170.0,buy,64169.0,0.00055,35.29295,Alo,True,error,True,0,0,1,True,0,pass,not_resting,post_only_reject,
2,116,True,trades,1784188331244,0,120,120,True,edge_gate_block,edge_below_required_buffer,64130.899999999994,64148.0,-17.1,139,2.0,5.0,block,edge_below_required_buffer,64148.0,64149.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
2,334,True,trades,1784188396960,0,339,339,True,edge_gate_block,edge_below_required_buffer,64065.5,64090.0,-24.5,246,2.0,5.0,block,edge_below_required_buffer,64090.0,64091.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
2,336,True,trades,1784188397487,0,343,343,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,64085.0,64086.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
2,602,True,trades,1784188456426,0,610,610,True,edge_gate_block,fair_mid_source_stale,,64117.0,,,2.0,5.0,block,fair_mid_source_stale,64117.0,64118.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
2,603,True,trades,1784188457164,0,612,612,True,edge_gate_block,fair_mid_source_stale,,64114.0,,,2.0,5.0,block,fair_mid_source_stale,64114.0,64115.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
2,651,True,trades,1784188468132,0,663,663,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,64100.0,64101.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
2,1168,True,trades,1784188607238,0,1183,1183,True,edge_gate_block,fair_mid_source_stale,,64151.0,,,2.0,5.0,block,fair_mid_source_stale,64151.0,64152.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
2,1844,True,trades,1784188807940,0,1860,1860,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,64206.0,64207.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
2,1865,True,trades,1784188812855,0,1882,1882,True,pass,,64237.5,64212.0,25.5,25,2.0,5.0,pass,,64212.0,64213.0,buy,64212.0,0.002,128.424,Alo,True,resting,False,0,0,1,True,0,pass,pass,,
