horizon_ms,hyperliquid_context_quality,hyperliquid_join_age_bucket,hyperliquid_spread_bucket,row_count,mean_future_mid_move_ticks,mean_future_microprice_minus_mid_change_ticks,mean_future_top5_imbalance_change
100,primary_usable,fresh_0_50ms,spread_0_10_ticks,383,0.71801567,-0.25210431,-0.00793185
100,primary_usable,fresh_0_50ms,spread_10_20_ticks,4,-7.5,2.92054091,-0.00579716
100,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,-1.42857143,9.83825647,0.14960067
100,primary_usable,warm_50_250ms,spread_0_10_ticks,1231,1.5962632,0.06208471,0.0006424
100,primary_usable,warm_50_250ms,spread_10_20_ticks,15,-3.33333333,-1.61297059,-0.22982295
100,primary_usable,warm_50_250ms,spread_gt_20_ticks,19,-18.68421053,-14.59362956,-0.14023386
100,primary_usable,watch_250ms_to_stale_limit,spread_0_10_ticks,1893,-1.40781828,0.01949367,0.00256425
100,primary_usable,watch_250ms_to_stale_limit,spread_10_20_ticks,13,-11.92307692,0.49075828,-0.14793951
100,primary_usable,watch_250ms_to_stale_limit,spread_gt_20_ticks,30,-32.83333333,6.44036962,0.11639335
250,primary_usable,fresh_0_50ms,spread_0_10_ticks,383,0.71801567,-0.25210431,-0.00793185
250,primary_usable,fresh_0_50ms,spread_10_20_ticks,4,-7.5,2.92054091,-0.00579716
250,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,-1.42857143,9.83825647,0.14960067
250,primary_usable,warm_50_250ms,spread_0_10_ticks,1231,1.5962632,0.06208471,0.0006424
250,primary_usable,warm_50_250ms,spread_10_20_ticks,15,-3.33333333,-1.61297059,-0.22982295
250,primary_usable,warm_50_250ms,spread_gt_20_ticks,19,-18.68421053,-14.59362956,-0.14023386
250,primary_usable,watch_250ms_to_stale_limit,spread_0_10_ticks,1893,-1.40781828,0.01949367,0.00256425
250,primary_usable,watch_250ms_to_stale_limit,spread_10_20_ticks,13,-11.92307692,0.49075828,-0.14793951
250,primary_usable,watch_250ms_to_stale_limit,spread_gt_20_ticks,30,-32.83333333,6.44036962,0.11639335
500,primary_usable,fresh_0_50ms,spread_0_10_ticks,383,0.71801567,-0.25210431,-0.00793185
500,primary_usable,fresh_0_50ms,spread_10_20_ticks,4,-7.5,2.92054091,-0.00579716
500,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,-1.42857143,9.83825647,0.14960067
500,primary_usable,warm_50_250ms,spread_0_10_ticks,1231,1.5962632,0.06208471,0.0006424
