sample_id,source_row_index,future_row_index,hyperliquid_decision_ts,binance_local_ts,binance_source_age_ms,joined_row_quality,horizon_ms,future_hyperliquid_decision_ts,effective_future_age_ms,label_row_quality,timestamp_policy,trade_pressure_policy,basis_contract_caveat,input_binance_top5_imbalance,input_binance_top5_imbalance_z,input_binance_microprice_minus_mid_ticks,input_binance_microprice_minus_mid_ticks_z,input_binance_mid_move_ticks_from_prev,input_binance_mid_move_ticks_from_prev_z,input_binance_top5_bid_qty,input_binance_top5_bid_qty_z,context_hyperliquid_mid_px,context_hyperliquid_spread_ticks,context_hyperliquid_top5_imbalance,context_hyperliquid_microprice_minus_mid_ticks,context_hyperliquid_join_age_ms,context_hyperliquid_join_age_bucket,context_hyperliquid_context_quality,context_basis_mid_ticks,hyperliquid_future_mid_move_ticks,hyperliquid_future_microprice_minus_mid_change_ticks,hyperliquid_future_top5_imbalance_change,basis_future_mid_response_ticks,basis_future_microprice_response_ticks
cross_exchange_public_sample_0602T001,0,1,1780378306038146252,1780378305736237277,301.908975,primary_usable,100,1780378306538146252,500,primary_label_available,inputs_at_decision_ts_future_labels_at_or_after_target,disabled_unverified_side_semantics,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,0.99361762,1.66926382,0.49680881,0.50796749,,,24.989,3.18429876,70572.5,10,0.14298104,0.71490519,0.000000,fresh_0_50ms,primary_usable,-86.5,0,4.1414578,0.82829156,101,100.9927028
cross_exchange_public_sample_0602T001,0,1,1780378306038146252,1780378305736237277,301.908975,primary_usable,250,1780378306538146252,500,primary_label_available,inputs_at_decision_ts_future_labels_at_or_after_target,disabled_unverified_side_semantics,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,0.99361762,1.66926382,0.49680881,0.50796749,,,24.989,3.18429876,70572.5,10,0.14298104,0.71490519,0.000000,fresh_0_50ms,primary_usable,-86.5,0,4.1414578,0.82829156,101,100.9927028
cross_exchange_public_sample_0602T001,0,1,1780378306038146252,1780378305736237277,301.908975,primary_usable,500,1780378306538146252,500,primary_label_available,inputs_at_decision_ts_future_labels_at_or_after_target,disabled_unverified_side_semantics,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,0.99361762,1.66926382,0.49680881,0.50796749,,,24.989,3.18429876,70572.5,10,0.14298104,0.71490519,0.000000,fresh_0_50ms,primary_usable,-86.5,0,4.1414578,0.82829156,101,100.9927028
cross_exchange_public_sample_0602T001,0,2,1780378306038146252,1780378305736237277,301.908975,primary_usable,1000,1780378307038146252,1000,primary_label_available,inputs_at_decision_ts_future_labels_at_or_after_target,disabled_unverified_side_semantics,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,0.99361762,1.66926382,0.49680881,0.50796749,,,24.989,3.18429876,70572.5,10,0.14298104,0.71490519,0.000000,fresh_0_50ms,primary_usable,-86.5,15,9.28439566,0.85694904,131,130.9957473
cross_exchange_public_sample_0602T001,0,10,1780378306038146252,1780378305736237277,301.908975,primary_usable,5000,1780378311038146252,5000,primary_label_available,inputs_at_decision_ts_future_labels_at_or_after_target,disabled_unverified_side_semantics,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,0.99361762,1.66926382,0.49680881,0.50796749,,,24.989,3.18429876,70572.5,10,0.14298104,0.71490519,0.000000,fresh_0_50ms,primary_usable,-86.5,160,3.33697159,0.66739432,3,2.9893548
cross_exchange_public_sample_0602T001,0,20,1780378306038146252,1780378305736237277,301.908975,primary_usable,10000,1780378316038146252,10000,primary_label_available,inputs_at_decision_ts_future_labels_at_or_after_target,disabled_unverified_side_semantics,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,0.99361762,1.66926382,0.49680881,0.50796749,,,24.989,3.18429876,70572.5,10,0.14298104,0.71490519,0.000000,fresh_0_50ms,primary_usable,-86.5,350,-0.30235916,-0.06047183,-71,-71.5321555
cross_exchange_public_sample_0602T001,1,2,1780378306538146252,1780378306513984192,24.16206,primary_usable,100,1780378307038146252,500,primary_label_available,inputs_at_decision_ts_future_labels_at_or_after_target,disabled_unverified_side_semantics,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,0.97902313,1.64546013,0.48951156,0.50091718,0,0.00254356,22.548,2.75832368,70572.5,10,0.9712726,4.85636299,118.234509,warm_50_250ms,primary_usable,14.5,15,5.14293786,0.02865748,30,30.0030445
cross_exchange_public_sample_0602T001,1,2,1780378306538146252,1780378306513984192,24.16206,primary_usable,250,1780378307038146252,500,primary_label_available,inputs_at_decision_ts_future_labels_at_or_after_target,disabled_unverified_side_semantics,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,0.97902313,1.64546013,0.48951156,0.50091718,0,0.00254356,22.548,2.75832368,70572.5,10,0.9712726,4.85636299,118.234509,warm_50_250ms,primary_usable,14.5,15,5.14293786,0.02865748,30,30.0030445
cross_exchange_public_sample_0602T001,1,2,1780378306538146252,1780378306513984192,24.16206,primary_usable,500,1780378307038146252,500,primary_label_available,inputs_at_decision_ts_future_labels_at_or_after_target,disabled_unverified_side_semantics,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,0.97902313,1.64546013,0.48951156,0.50091718,0,0.00254356,22.548,2.75832368,70572.5,10,0.9712726,4.85636299,118.234509,warm_50_250ms,primary_usable,14.5,15,5.14293786,0.02865748,30,30.0030445
cross_exchange_public_sample_0602T001,1,3,1780378306538146252,1780378306513984192,24.16206,primary_usable,1000,1780378307538146252,1000,primary_label_available,inputs_at_decision_ts_future_labels_at_or_after_target,disabled_unverified_side_semantics,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,0.97902313,1.64546013,0.48951156,0.50091718,0,0.00254356,22.548,2.75832368,70572.5,10,0.9712726,4.85636299,118.234509,warm_50_250ms,primary_usable,14.5,15,5.14293786,0.02865748,127,126.5723932
