sample_id,field,required_for_complete_context,row_count,non_empty_count,coverage_rate
xemm_0625_t002_utc15_a,sample_id,True,669,669,1
xemm_0625_t002_utc15_a,observed_regime,True,669,669,1
xemm_0625_t002_utc15_a,source_row_index,True,669,669,1
xemm_0625_t002_utc15_a,future_row_index,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_decision_ts,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_l2book_local_ts,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_l2book_event_ts,True,669,669,1
xemm_0625_t002_utc15_a,binance_local_ts,True,669,669,1
xemm_0625_t002_utc15_a,binance_exch_ts,True,669,669,1
xemm_0625_t002_utc15_a,binance_source_age_ms,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_join_age_ms,True,669,669,1
xemm_0625_t002_utc15_a,nominal_horizon_ms,True,669,669,1
xemm_0625_t002_utc15_a,effective_future_age_ms,True,669,669,1
xemm_0625_t002_utc15_a,future_hyperliquid_decision_ts,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_current_bid_px,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_current_ask_px,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_buy_touch_quote_px,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_sell_touch_quote_px,True,669,669,1
xemm_0625_t002_utc15_a,tick_size,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_mid_px,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_top5_microprice_px,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_spread_ticks,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_bid_top5_px,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_ask_top5_px,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_bid_top5_qtys,True,669,669,1
xemm_0625_t002_utc15_a,hyperliquid_ask_top5_qtys,True,669,669,1
xemm_0625_t002_utc15_a,binance_mid_px,True,669,669,1
xemm_0625_t002_utc15_a,binance_top5_microprice_px,True,669,669,1
xemm_0625_t002_utc15_a,binance_bid_top5_px,True,669,669,1
xemm_0625_t002_utc15_a,binance_ask_top5_px,True,669,669,1
xemm_0625_t002_utc15_a,binance_bid_top5_qtys,True,669,669,1
xemm_0625_t002_utc15_a,binance_ask_top5_qtys,True,669,669,1
xemm_0625_t002_utc15_a,input_binance_top5_imbalance,True,669,669,1
xemm_0625_t002_utc15_a,input_binance_microprice_minus_mid_ticks,True,669,669,1
xemm_0625_t002_utc15_a,input_binance_mid_move_ticks_from_prev,True,669,668,0.99850523
