session,side,latency_ms,latency_role,regime_count,observed_exit_count,right_censored_count,identified_fraction,dwell_p10_ms,dwell_p50_ms,dwell_p90_ms,km_total_dwell_p50_ms,residual_dwell_p50_ms,residual_dwell_lower95_ms,switching_rate_per_minute,distinct_detection_blocks,identifiable_bootstrap_replicates
jul30,maker_ask_risk,25,legacy_sensitivity,652,652,0,1,50,120,700,120,95,85,4.7591240875912408,137,2000
jul30,maker_ask_risk,50,legacy_sensitivity,652,652,0,1,50,120,700,120,70,60,4.7591240875912408,137,2000
jul30,maker_ask_risk,100,historical_optimistic_sensitivity,652,652,0,1,50,120,700,120,20,10,4.7591240875912408,137,2000
jul30,maker_ask_risk,250,legacy_sensitivity,652,652,0,1,50,120,700,120,-130,-140,4.7591240875912408,137,2000
jul30,maker_ask_risk,500,legacy_sensitivity,652,652,0,1,50,120,700,120,-380,-390,4.7591240875912408,137,2000
jul30,maker_ask_risk,850,terminal_observability_normal_path_diagnostic_only,652,652,0,1,50,120,700,120,-730,-740,4.7591240875912408,137,2000
jul30,maker_ask_risk,6600,measurement_selected_primary,652,652,0,1,50,120,700,120,-6480,-6490,4.7591240875912408,137,2000
jul30,maker_bid_risk,25,legacy_sensitivity,5323,5317,6,0.99887281608115719,60,180,1470,180,155,145,30.947674418604652,172,2000
jul30,maker_bid_risk,50,legacy_sensitivity,5323,5317,6,0.99887281608115719,60,180,1470,180,130,120,30.947674418604652,172,2000
jul30,maker_bid_risk,100,historical_optimistic_sensitivity,5323,5317,6,0.99887281608115719,60,180,1470,180,80,70,30.947674418604652,172,2000
jul30,maker_bid_risk,250,legacy_sensitivity,5323,5317,6,0.99887281608115719,60,180,1470,180,-70,-80,30.947674418604652,172,2000
jul30,maker_bid_risk,500,legacy_sensitivity,5323,5317,6,0.99887281608115719,60,180,1470,180,-320,-330,30.947674418604652,172,2000
jul30,maker_bid_risk,850,terminal_observability_normal_path_diagnostic_only,5323,5317,6,0.99887281608115719,60,180,1470,180,-670,-680,30.947674418604652,172,2000
jul30,maker_bid_risk,6600,measurement_selected_primary,5323,5317,6,0.99887281608115719,60,180,1470,180,-6420,-6430,30.947674418604652,172,2000
aug04,maker_ask_risk,25,legacy_sensitivity,458,458,0,1,60,120,500,120,95,85,12.378378378378379,37,2000
aug04,maker_ask_risk,50,legacy_sensitivity,458,458,0,1,60,120,500,120,70,60,12.378378378378379,37,2000
aug04,maker_ask_risk,100,historical_optimistic_sensitivity,458,458,0,1,60,120,500,120,20,10,12.378378378378379,37,2000
aug04,maker_ask_risk,250,legacy_sensitivity,458,458,0,1,60,120,500,120,-130,-140,12.378378378378379,37,2000
aug04,maker_ask_risk,500,legacy_sensitivity,458,458,0,1,60,120,500,120,-380,-390,12.378378378378379,37,2000
aug04,maker_ask_risk,850,terminal_observability_normal_path_diagnostic_only,458,458,0,1,60,120,500,120,-730,-740,12.378378378378379,37,2000
aug04,maker_ask_risk,6600,measurement_selected_primary,458,458,0,1,60,120,500,120,-6480,-6490,12.378378378378379,37,2000
aug04,maker_bid_risk,25,legacy_sensitivity,1337,1336,1,0.9992520568436799,110,820,4660,820,795,675,22.661016949152543,59,2000
aug04,maker_bid_risk,50,legacy_sensitivity,1337,1336,1,0.9992520568436799,110,820,4660,820,770,650,22.661016949152543,59,2000
aug04,maker_bid_risk,100,historical_optimistic_sensitivity,1337,1336,1,0.9992520568436799,110,820,4660,820,720,600,22.661016949152543,59,2000
aug04,maker_bid_risk,250,legacy_sensitivity,1337,1336,1,0.9992520568436799,110,820,4660,820,570,450,22.661016949152543,59,2000
aug04,maker_bid_risk,500,legacy_sensitivity,1337,1336,1,0.9992520568436799,110,820,4660,820,320,200,22.661016949152543,59,2000
aug04,maker_bid_risk,850,terminal_observability_normal_path_diagnostic_only,1337,1336,1,0.9992520568436799,110,820,4660,820,-30,-150,22.661016949152543,59,2000
aug04,maker_bid_risk,6600,measurement_selected_primary,1337,1336,1,0.9992520568436799,110,820,4660,820,-5780,-5900,22.661016949152543,59,2000
