cache_name,size_bytes,row_count,cache_schema_version,cache_sha256,paired_determinism_verified
2026-07-29_0540d8311fc2.npz,1402092,89991,4,36cbf4a5ada8d4691292e57b46ef6b390dcfbe59500fb5816499d628306e5202,True
2026-07-29_c092d6b4402c.npz,1846259,359999,4,c72e4292420365a36945403a12e8556c38a3b565dacb81463415badf644480ef,True
2026-07-30_1b18a29f3daf.npz,2190369,89991,4,0758b9305f8b59634fd35dea2cc703e465b2975b1c7b1b55c52dc8a17eae6079,True
2026-07-30_2cc63928e27f.npz,2353078,89989,4,504a2b09e4787d63d270effd58bf30ac56a107de1708744b5020dba436141cb5,True
2026-07-30_47309d2a7046.npz,1976410,89990,4,550e957202e57ad9d34c39a52415dbf6539342471cee06774772052b527ae8b9,True
2026-07-30_b19ed82d662d.npz,2276365,89988,4,88d263b32c2d8ba7dc454e11cc6611c9e96d94f95214f0bcc693f62a3ff3f8e4,True
2026-07-30_bd0fb3d8fa82.npz,2246598,89992,4,d348a970c6df6e446a3917a81433374e1684923d2a9f220d03911f7fb988c44f,True
2026-07-30_c655ea10171f.npz,2081845,89990,4,5383d4d56e047f58cb958f5aeba4caa9b5008a7b1b22ffd26863dc4819ac5584,True
2026-07-30_d88a85361fb1.npz,2311306,89990,4,bb77f2dd226e8ba3657e9e5125b3979f258a2dcd5125d6af71f3f25a318940ff,True
2026-07-30_f91aa7f4acf1.npz,2035654,89993,4,3262aa0e6ea87027a0c923b7dbfe33db83f4c65ecb8ba880cfc48147303b9ffe,True
2026-08-03_098332acc16a.npz,1748555,89990,4,98adb6e71cf51e706e75f48d5d9594d7bc738cf6bbab4984788ee25a37182101,True
2026-08-03_1dd085c2ccc5.npz,1236314,89991,4,f8952d82ce8556cb14747d8c7b183066c59b115f2f4870f8acdeceda07696b98,True
2026-08-03_2994fc7a75af.npz,1603151,89993,4,aa2b4a5d9c6004042daa58de6212fda31e36c8947d615ad8ffe3d2e80abb6604,True
2026-08-03_3a405386e85b.npz,1447246,89991,4,e22aab24dca3d338cc7ed6cab07f43334210ec1c1e5b37c15dac23f03bb42504,True
2026-08-03_7f200bdbf129.npz,1259936,89990,4,c6b1d4179ad740a35877ae107a453f1db79d22626ad6f145801266e6e69c162c,True
2026-08-03_b7b76aed76b8.npz,1634066,89991,4,a05edf7d98d2288a6b08e054b411c1ed223dcca319cc57b6eaba0cbf16b39b53,True
2026-08-03_c6ba75ad540b.npz,1263905,89990,4,9dff66cd8ded1f9014faa57537bfa02439f4651aeddff7311db7d852cb639cd6,True
2026-08-03_d0a70a33d273.npz,1963315,89988,4,e8e565be9ad815f3bb82216b5987ddc1dc78a60d299a6b2155d16bef07a1afcb,True
2026-08-03_d8e3322d6f2c.npz,1253207,89992,4,f193e6ac773a50c61c364debf898d15fae8a1458ee2a76bcb169b012472bd840,True
2026-08-03_f1ce2c62420e.npz,1387313,89987,4,82e458462542ad578b8b354d6476afba8b5280806fa1f4f79d5f2d3d329e591e,True
2026-08-04_a6a45be8a495.npz,6980404,359991,4,bd5903ee6e0e43078619250231e9c6e52fbfc92d5305e6e500f8da054f2943c2,True
2026-08-07_46d1e1a74698.npz,12094674,719988,4,111d0e567b6e5baea00378ef1838ee7763792d86a40e85a3f49ab25b5657c47b,True
2026-08-24_aeee94c4bfe5.npz,11323419,719988,4,52f8ed9046f643b1b643cfa9373da7530bea453237a11cc7762c0bb75ca5664a,True
2026-08-25_fd89fc8de22f.npz,11512573,719990,4,0cfa8daa89a822ea3cf7d550ad946ca75813a1d947aa7905e24ec5e14297b11d,True
2026-08-26_164de1d394f7.npz,5645035,374990,4,41f269724c683e21c5437af1377c0a970dc2716baef577762d18135c348c90f9,True
2026-08-26_20fa36ad4d76.npz,3520990,374993,4,1e4eb6e4ae768c821b318509671e72110e0201ac7df535efefe62ba1f4ab5f65,True
2026-08-26_7e4d0a9ed099.npz,5025594,374992,4,8b3a2c99899dff8a55c67dfce8d8a46b276fe7c81281df45ac8d160e885ff861,True
2026-08-26_a055aa6c7a87.npz,4372661,374989,4,66508d4dcb66c8d9e63b9412ca1ff111bf77d6d3335412d428cab236353a7b95,True
2026-08-27_ba5ebc09e758.npz,5912673,374988,4,170a6355971d5e48ad1875c5834a79c2379cefb1cf277b025bd9303b4415afec,True
