duration_ms,replicate_id,anchor_count,median_coherence_dwell_ms,swap_fingerprint
10000,0,31,40.0,ec0663336e91f81baea8de06b3ef0a5254465d2f5ef83019500a9f89f77765c7
10000,1,34,40.0,7e7a00b99738a421bc98fc7a117578bca80104613f198b9eea2e8941901f78a9
10000,2,34,40.0,5843c56f548c64a236c908bb1632fe8361fe4169488655d8dec66c8f394b4751
10000,3,34,40.0,0473aba365b140bf0dd7f43e08d0c9982e3cc9016a4ec5a6a2a4fccb858caab8
10000,4,32,40.0,ab2c600f6d3126615a8fba4284b5a598d7c2c92b4fd60a0c85cc5e294e9e7b23
10000,5,33,40.0,add31d0738f973dfd132374f0cd9ba091c68e1d6cae51c96cff2a4c58e4203b9
10000,6,30,40.0,f9d61e688b924948b39d9d43b8c77b0d25e01c6563914b03044eb6af692128ea
10000,7,35,40.0,cff18a036cf4069d76186a449acedbb8fd25f4ec7c6b0d23a59e2fab0a333f42
10000,8,37,40.0,8af3ad25065f6691bbe6af2f4759beab2a8d91ea504a25ba0d1e8bf665da52bc
10000,9,28,40.0,5c3a4c0e3195f1bd35cb01bde8226977472ac34d788f277b7076f825995a64bc
10000,10,33,40.0,14bb2e33a0d77eaaa0ef2eeb99b4405b493bf67312fbce720380bd8381d4617c
10000,11,33,40.0,15f399863ed051a816fbda99daf83a4338c965dce5acc5999fc6bb18fed7bdf6
10000,12,36,40.0,68cbbcaa2e2342dfa6a950781c30ee30c4937298df29d6b3db87cd5cf9eb4945
10000,13,40,20.0,75780a41c5278cb2117125caa8af6e23d77cb115d596a73f38ecbb8b27fa3cbf
10000,14,31,40.0,82a84398cf46364a0f05cc9e1112fc35eb0dc1358bc51101f68f7b19bc059820
10000,15,32,40.0,b7f7fc5c8fc32835b560fdb8fa783c6363a73a8986016e1a84aa2a44a81543cf
10000,16,34,40.0,4a662b2209958fbed02b6966442e57647f4624391bada7f49cb08e507603a2e5
10000,17,27,40.0,c1f3ee244d1ab6f171e2133655f87ccabbfdec723ed2fdc477e03d4fdc6bc31f
10000,18,33,40.0,aa2bbafd4227a92eedc4dfb7d9fc3992c121b8e1819d0a6e18c5029d47f71b2e
10000,19,30,30.0,ee54d35bd03f5b34e7b9443020a51f2c005b1333dae0f2fbae854f93872477b5
10000,20,33,40.0,e0a16699b74519059a7dd174610901a7cdeaa54d4a35c8d9a41b58390c4808ed
10000,21,36,40.0,dce832b6cb02332b005b158e8a207a9f93120425c8a102025e078d10f953dc92
10000,22,33,40.0,0afb0173bee9472a4448ad4767c48ac62d816932fc719131c1adfefbe43ec13a
10000,23,34,30.0,be6534444cbb0e9d6393ae44e078bbac15ca6fd2463d6c8f16374fa93c8f3406
10000,24,35,40.0,4087eddd9f76e757ebd891ae485538e237a4adb3e703e137bbf7454e3518ce03
10000,25,33,20.0,6f322a8ae505f525776633be729a1a739d734bb0b76ec9533edf3e1c805fba0f
10000,26,45,40.0,a550fae0de1a30c8e7b628254b35a606a0a4156cd48434df6253c2f473aff63f
10000,27,43,40.0,7557b5c18a745db22a9969b028512423f2c6079e22a2739b8116a493fcb6cb06
10000,28,32,40.0,378583c927d069173d47b30c7692cb2ee057a330d8753a7053e4598ceff5b707
10000,29,35,40.0,70b316d6a9ba5177f8248fc498420020ab039c8b753dab34d8b91b166e857d79
10000,30,36,40.0,23ceca7336decd8e35c7572f9e023afb5650534674b12cf68ce98088cae813a1
10000,31,30,40.0,0f0393d8c1a1329b7241e2270eaeec03dade633f49b35ff2a88ef443762b8e58
10000,32,27,40.0,6baadf279b0b95180ed07f23e8ef70d74c5ab88324968cd65a9112b9cb98ee52
10000,33,30,20.0,708c4194ea38fcee45009986d24688ed29fb5c3b9e9efb2985130bca33fd053c
10000,34,38,40.0,676164f70c2669c6f01855b2dc51a1bff0ea233c4ad7b483bfceed3f5fe46fe2
10000,35,30,50.0,59dfe9c0cbbd9f303d9df0f0da93b73fe993d347b151fdb8ebe97f9776f6fb48
10000,36,36,40.0,7818ce738e912873460c4d34a9d27d340abe78ffaeeec86e3e5d16019c6b8f78
10000,37,39,40.0,7e94c731e6178d9efff5eee61ea43aa08b1b55a673dbf0614941e2490b7e8b6b
10000,38,33,20.0,620a0ada43290e75a59e584376b3686a38cbca113c0b67f4f08b3da7c4bb6ec9
10000,39,31,40.0,5d7ae89323c0d4617375f4e20cd5e764410ab44fc47f21b9c40f5a41045e20b6
10000,40,36,40.0,5a2014ace119d97db2618c9f9afaffae21552818e7d010f9349533a1911be2bc
10000,41,36,20.0,a8819951fe72f66a7eecfdbfe55d649e9ac7e9606cf18a57133bb5629185345e
10000,42,40,40.0,952aabc63a4b33901688c543d05844a15148bc46711d1ad1287521fe07bc7a20
10000,43,36,40.0,69f4e76b344355660b68de5776b8891583d2ebc17e7a44c325c5c3b460c84e47
10000,44,37,40.0,a61dadf8d156eb7ed8bd3a9f00baf27e913aa77b7f9a3aa27f215bab242b5403
10000,45,34,40.0,fe6595f927106a55f6d4d3a06ea061919a84a9c16fcdee3f31c1a5418dc62e12
10000,46,29,40.0,c594eedc53de3a73bb5cac1130ec1bea56d27cba9cdc78e46d16707d137254d9
10000,47,32,30.0,bb966a7b661e9eaa431ddcc6d3804ce0e75c74307b0a302971c005c0b4ac2a5e
10000,48,42,30.0,72c3f240819fbe4b22e5bc2ce2c6f981b6124831759168de665de2287797f389
10000,49,44,30.0,95d7b4550b0968547baa414523bcf91aaf112396caa7b71200a307abb515d3ec
10000,50,36,40.0,9c22b24a8daa8aeccf6c5d42c797d21271f42a218485533ccb177ef60f648cb4
10000,51,31,20.0,2937255ad68766ced3692c284a23da7b149444dd593a7f979966cd52047c623d
10000,52,35,40.0,8a35ee5672732723e6fce6693aa2cb3db370130ad7c4c8b9e8ca355ff97d94a3
10000,53,36,40.0,3fbcae1ab68451e1ba32f83f69c9754348af1384c6adeb4e5e955088a8802c9a
10000,54,28,20.0,8a6b622cb87081406b3f3c0974effc108470f3a9716968cd8c5329aeba568aa2
10000,55,39,40.0,76b6fcf1de1fe396ef0776f5d908fe1d6558bf26d09fdb117e9fef1cb8ec1aba
