duration_ms,research_date,replicate_id,anchor_count
10000,2026-07-29,0,0
10000,2026-07-30,0,17
10000,2026-08-03,0,5
10000,2026-08-04,0,4
10000,2026-08-07,0,2
10000,2026-08-24,0,1
10000,2026-08-25,0,1
10000,2026-08-26,0,1
10000,2026-08-27,0,0
10000,2026-07-29,1,0
10000,2026-07-30,1,20
10000,2026-08-03,1,4
10000,2026-08-04,1,6
10000,2026-08-07,1,2
10000,2026-08-24,1,1
10000,2026-08-25,1,1
10000,2026-08-26,1,0
10000,2026-08-27,1,0
10000,2026-07-29,2,0
10000,2026-07-30,2,18
10000,2026-08-03,2,7
10000,2026-08-04,2,2
10000,2026-08-07,2,4
10000,2026-08-24,2,2
10000,2026-08-25,2,1
10000,2026-08-26,2,0
10000,2026-08-27,2,0
10000,2026-07-29,3,0
10000,2026-07-30,3,25
10000,2026-08-03,3,2
10000,2026-08-04,3,3
10000,2026-08-07,3,3
10000,2026-08-24,3,1
10000,2026-08-25,3,0
10000,2026-08-26,3,0
10000,2026-08-27,3,0
10000,2026-07-29,4,0
10000,2026-07-30,4,16
10000,2026-08-03,4,5
10000,2026-08-04,4,6
10000,2026-08-07,4,4
10000,2026-08-24,4,0
10000,2026-08-25,4,0
10000,2026-08-26,4,1
10000,2026-08-27,4,0
10000,2026-07-29,5,0
10000,2026-07-30,5,21
10000,2026-08-03,5,1
10000,2026-08-04,5,7
10000,2026-08-07,5,3
10000,2026-08-24,5,1
10000,2026-08-25,5,0
10000,2026-08-26,5,0
10000,2026-08-27,5,0
10000,2026-07-29,6,0
10000,2026-07-30,6,19
10000,2026-08-03,6,3
10000,2026-08-04,6,4
10000,2026-08-07,6,1
10000,2026-08-24,6,1
10000,2026-08-25,6,1
10000,2026-08-26,6,1
10000,2026-08-27,6,0
10000,2026-07-29,7,0
10000,2026-07-30,7,20
10000,2026-08-03,7,6
10000,2026-08-04,7,6
10000,2026-08-07,7,2
10000,2026-08-24,7,1
10000,2026-08-25,7,0
10000,2026-08-26,7,0
10000,2026-08-27,7,0
10000,2026-07-29,8,0
10000,2026-07-30,8,21
10000,2026-08-03,8,6
10000,2026-08-04,8,5
10000,2026-08-07,8,3
10000,2026-08-24,8,1
10000,2026-08-25,8,0
10000,2026-08-26,8,1
10000,2026-08-27,8,0
10000,2026-07-29,9,0
10000,2026-07-30,9,16
10000,2026-08-03,9,3
10000,2026-08-04,9,5
10000,2026-08-07,9,2
10000,2026-08-24,9,1
10000,2026-08-25,9,0
10000,2026-08-26,9,1
10000,2026-08-27,9,0
10000,2026-07-29,10,0
10000,2026-07-30,10,16
10000,2026-08-03,10,6
10000,2026-08-04,10,4
10000,2026-08-07,10,3
10000,2026-08-24,10,2
10000,2026-08-25,10,1
10000,2026-08-26,10,1
10000,2026-08-27,10,0
10000,2026-07-29,11,0
10000,2026-07-30,11,19
10000,2026-08-03,11,4
10000,2026-08-04,11,4
10000,2026-08-07,11,3
10000,2026-08-24,11,1
10000,2026-08-25,11,1
10000,2026-08-26,11,1
10000,2026-08-27,11,0
10000,2026-07-29,12,0
10000,2026-07-30,12,19
10000,2026-08-03,12,7
10000,2026-08-04,12,6
10000,2026-08-07,12,2
10000,2026-08-24,12,0
10000,2026-08-25,12,1
10000,2026-08-26,12,1
10000,2026-08-27,12,0
10000,2026-07-29,13,0
10000,2026-07-30,13,23
10000,2026-08-03,13,8
10000,2026-08-04,13,3
10000,2026-08-07,13,4
10000,2026-08-24,13,1
10000,2026-08-25,13,1
10000,2026-08-26,13,0
10000,2026-08-27,13,0
10000,2026-07-29,14,0
10000,2026-07-30,14,23
10000,2026-08-03,14,1
10000,2026-08-04,14,4
10000,2026-08-07,14,1
10000,2026-08-24,14,0
10000,2026-08-25,14,1
10000,2026-08-26,14,1
10000,2026-08-27,14,0
10000,2026-07-29,15,0
10000,2026-07-30,15,19
10000,2026-08-03,15,7
10000,2026-08-04,15,4
10000,2026-08-07,15,1
10000,2026-08-24,15,0
10000,2026-08-25,15,0
10000,2026-08-26,15,1
10000,2026-08-27,15,0
10000,2026-07-29,16,0
10000,2026-07-30,16,22
10000,2026-08-03,16,4
10000,2026-08-04,16,6
10000,2026-08-07,16,1
10000,2026-08-24,16,0
10000,2026-08-25,16,0
10000,2026-08-26,16,1
10000,2026-08-27,16,0
10000,2026-07-29,17,0
10000,2026-07-30,17,11
10000,2026-08-03,17,5
10000,2026-08-04,17,6
10000,2026-08-07,17,2
10000,2026-08-24,17,2
10000,2026-08-25,17,0
10000,2026-08-26,17,1
10000,2026-08-27,17,0
10000,2026-07-29,18,0
10000,2026-07-30,18,18
10000,2026-08-03,18,4
10000,2026-08-04,18,8
10000,2026-08-07,18,2
10000,2026-08-24,18,0
10000,2026-08-25,18,0
