capture_id,research_date,segment_id,variant_id,artificial_start_ts_ns,comparison_guard_ts_ns,expected_anchor_count,actual_anchor_count,expected_negative_count,actual_negative_count,expected_positive_count,actual_positive_count,expected_median_dwell_ms,actual_median_dwell_ms,expected_identity_sha256,actual_identity_sha256,identity_exact,metrics_exact,exact_match
2026-07-29_0540d8311fc2,2026-07-29,0,V0,1785314248220000000,1785314280220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V0,1785314848220000000,1785314880220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V1,1785314248220000000,1785314280220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V1,1785314848220000000,1785314880220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V2,1785314248220000000,1785314280220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V2,1785314848220000000,1785314880220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V3,1785314248220000000,1785314280220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V3,1785314848220000000,1785314880220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V4,1785314248220000000,1785314280220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V4,1785314848220000000,1785314880220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V5,1785314248220000000,1785314280220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V5,1785314848220000000,1785314880220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V6,1785314248220000000,1785314280220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V6,1785314848220000000,1785314880220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V7,1785314248220000000,1785314280220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V7,1785314848220000000,1785314880220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V8,1785314248220000000,1785314280220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_0540d8311fc2,2026-07-29,0,V8,1785314848220000000,1785314880220000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_c092d6b4402c,2026-07-29,1,V0,1785292645000000000,1785292677000000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_c092d6b4402c,2026-07-29,1,V0,1785293245000000000,1785293277000000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_c092d6b4402c,2026-07-29,1,V0,1785293845000000000,1785293877000000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_c092d6b4402c,2026-07-29,1,V0,1785294445000000000,1785294477000000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_c092d6b4402c,2026-07-29,1,V0,1785295045000000000,1785295077000000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_c092d6b4402c,2026-07-29,1,V0,1785295645000000000,1785295677000000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_c092d6b4402c,2026-07-29,1,V0,1785296245000000000,1785296277000000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_c092d6b4402c,2026-07-29,1,V0,1785296845000000000,1785296877000000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
2026-07-29_c092d6b4402c,2026-07-29,1,V0,1785297445000000000,1785297477000000000,0,0,0,0,0,0,nan,nan,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,ebdc492e882c72f326ea57ad056e86e26e0a4d3070d305be4448d40c1fa36bbf,True,True,True
