anchor_id,capture_id,research_date,hypothesis_id,segment_start_ts_ns,segment_id,variant_id,candidate_ts_ns,candidate_event_seq,confirmation_ts_ns,confirmation_event_seq,direction,persistence_exposure_ms,coherence_dwell_ms,exclusive_conflict_family,prior_active_exposure_ms,prior_conflict_exposure_ms,prior_contiguous_conflict_ms,prior_component_conflict_ms,prior_horizon_conflict_ms,dependence_cluster_id
92e8fcc8efa212841910c6b77373680edd844e24d5fbf2b87f782ac8ee99394e,2026-07-30_2cc63928e27f,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785369289540000000,0,V0,1785369833900000000,598042,1785369834020000000,598074,1,120,20,depletion_and_ofi,360,260,180,260,180,2026-07-30_2cc63928e27f:59512327
98d44ec702b48c8fdd96e803aa7e42c65598400ec0b8dc6ce9ee15e569ffa742,2026-07-30_2cc63928e27f,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785369289540000000,0,V0,1785369921000000000,728192,1785369921140000000,728426,1,120,40,depletion_only,500,260,120,260,140,2026-07-30_2cc63928e27f:59512330
a8d64aa00f23888d2c247296703a031ebac24e460f630db43b14ca9db19c2476,2026-07-30_2cc63928e27f,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785369289540000000,0,V0,1785370083480000000,939678,1785370083620000000,940225,1,120,20,depletion_and_ofi,500,180,120,180,200,2026-07-30_2cc63928e27f:59512336
5eb79d43aa74942f408a25115eb38b706e1cc50897708a1f07740015d397b035,2026-07-30_2cc63928e27f,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785369289540000000,0,V0,1785370461260000000,1411058,1785370461540000000,1411869,1,120,40,depletion_only,500,200,120,200,160,2026-07-30_2cc63928e27f:59512348
a4804a5b1ae2a1e1ddcf14398a6fbd01292ac272d0224cd534291bff1370415f,2026-07-30_2cc63928e27f,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785369289540000000,0,V0,1785370582000000000,1548804,1785370582120000000,1548929,1,120,20,depletion_only,500,160,140,160,140,2026-07-30_2cc63928e27f:59512352
ce164e418128ccee8ba9e59da34124db71b32f0c47a11da4e686aba32691af4c,2026-07-30_2cc63928e27f,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785369289540000000,0,V0,1785371087760000000,2196858,1785371087940000000,2196981,1,120,20,depletion_and_ofi,480,140,140,140,320,2026-07-30_2cc63928e27f:59512369
421f42f099196334f0449e1351dce4823185c43ed4e42737b440e21d4c4c0222,2026-07-30_bd0fb3d8fa82,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785371090660000000,0,V0,1785371225200000000,113643,1785371225380000000,113833,1,120,40,ofi_only,480,200,160,200,100,2026-07-30_bd0fb3d8fa82:59512374
4c80534d959294eb14023865cb83ccaea69f827aa25633bfc78c9d14fb44a871,2026-07-30_bd0fb3d8fa82,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785371090660000000,0,V0,1785371712100000000,470504,1785371712300000000,471704,1,120,40,ofi_only,500,180,160,180,0,2026-07-30_bd0fb3d8fa82:59512390
9204a5b37b818531c97b288e4b4e6e64a4d582942ea3d3da983743eefaae258b,2026-07-30_bd0fb3d8fa82,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785371090660000000,0,V0,1785371844960000000,558263,1785371845100000000,558359,1,120,60,ofi_only,340,240,160,240,180,2026-07-30_bd0fb3d8fa82:59512394
6c042bcd6fc849ac6e55dd822069f68cb94d18fb01985fc8681f502743d4a6a5,2026-07-30_bd0fb3d8fa82,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785371090660000000,0,V0,1785372628940000000,1210093,1785372629220000000,1210175,1,120,20,depletion_and_ofi,400,300,120,300,60,2026-07-30_bd0fb3d8fa82:59512420
f8b09c7bf7377cb68d6afb87cd6b44bb4b768593659312c5c370ffa2a7bccbe1,2026-07-30_bd0fb3d8fa82,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785371090660000000,0,V0,1785372845900000000,1371760,1785372846080000000,1371933,1,120,20,ofi_only,400,140,120,140,100,2026-07-30_bd0fb3d8fa82:59512428
34150d8101e992c67a8e87dee039f2dc649e2125dbb87ffbd8b8e79b64d40833,2026-07-30_d88a85361fb1,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785372891600000000,0,V0,1785373050200000000,87904,1785373050440000000,88156,1,120,180,depletion_and_ofi,500,160,120,160,260,2026-07-30_d88a85361fb1:59512435
9b7c93f0e59ccfabd14a6d3e3c129a4ac5d84a1b259f72dcdf986beb4744e017,2026-07-30_d88a85361fb1,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785372891600000000,0,V0,1785373109580000000,124008,1785373109700000000,124115,1,120,60,depletion_and_ofi,460,180,120,180,280,2026-07-30_d88a85361fb1:59512436
88f1ca0c95b5fbfd48cd43f89638c4bb169e733c8b30d31366a9cd486ef8f44a,2026-07-30_d88a85361fb1,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785372891600000000,0,V0,1785373544460000000,531806,1785373544700000000,532425,1,120,20,depletion_and_ofi,500,220,140,220,240,2026-07-30_d88a85361fb1:59512451
6da2a9773681e481efb23368808f7171e0e149b6bd8b215e0a9f7489e20dc4e5,2026-07-30_d88a85361fb1,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785372891600000000,0,V0,1785373580960000000,583428,1785373581080000000,583490,-1,120,60,depletion_only,480,180,120,180,240,2026-07-30_d88a85361fb1:59512452
ac0e44cf45f2c3e51e5980e1d6a76aac17bad5a7a2ccbefabea93e960b9db42c,2026-07-30_d88a85361fb1,2026-07-30,FLOW_COHERENCE_TRANSITION_V1,1785372891600000000,0,V0,1785373689060000000,690927,1785373689180000000,691192,1,120,60,depletion_and_ofi,440,300,120,300,320,2026-07-30_d88a85361fb1:59512456
