coarsening_variant,inventory_bucket,side_class,quote_distance_bucket,fair_or_reservation_edge_bucket,latency_stale_bucket,post_only_safety_bucket,reject_throttle_churn_bucket,rows,fills,fills_needed_for_min_clean_fills,samples_needed_for_min_clean_samples,fill_samples_needed_for_min_coverage,sample_count,fill_sample_count,recommendation
churn_warning_coarsened,large_skew_or_low_score,add_side,step_back_gt1,edge_non_adverse,market_view_usable,post_only_clean,warning_churn_context,2605,34,6,0,0,7,6,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,225,20,20,0,0,7,6,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,92,15,25,0,0,7,7,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,1131,14,26,0,0,7,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,584,12,28,0,0,7,7,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,122,10,30,0,0,7,5,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,59,9,31,0,0,7,4,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,63,9,31,0,0,7,4,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,reduce_side,near_touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,59,9,31,0,0,7,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,touch,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,75,9,31,0,0,6,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,market_view_usable,guarded_depth_fallback,warning_churn_context,153,9,31,0,0,7,6,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,63,9,31,0,0,7,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,127,9,31,0,0,7,6,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,65,8,32,0,0,7,4,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,market_view_usable,post_only_clean,churn_normal,54,8,32,0,0,7,4,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,66,8,32,0,0,7,4,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,reduce_side,near_touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,65,8,32,0,0,7,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,flat,flat_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,575,8,32,0,0,7,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,72,8,32,0,0,7,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,974,8,32,0,0,7,5,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,market_view_usable,post_only_clean,churn_normal,54,8,32,0,0,7,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,66,8,32,0,0,7,4,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,reduce_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,churn_normal,41,7,33,0,0,7,4,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,reduce_side,near_touch,edge_strong_favorable,fresh_low_latency,post_only_clean,churn_normal,41,7,33,0,0,7,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,large_skew_or_low_score,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,967,7,33,0,0,7,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,warning_churn_context,124,7,33,0,0,7,4,target clean observed fills in this decision-visible regime
churn_warning_coarsened,mild_skew,reduce_side,step_back_gt1,edge_non_adverse,stale_latency_high,guarded_depth_fallback,warning_churn_context,682,7,33,0,0,7,5,target clean observed fills in this decision-visible regime
identity,large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,36,6,34,0,0,6,4,target clean observed fills in this decision-visible regime
identity,mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,29,6,34,0,0,6,4,target clean observed fills in this decision-visible regime
edge_latency_coarsened,large_skew_or_low_score,add_side,touch,edge_non_adverse,stale_latency_high,guarded_depth_fallback,churn_normal,37,6,34,0,0,6,4,target clean observed fills in this decision-visible regime
edge_latency_coarsened,mild_skew,add_side,touch,edge_non_adverse,stale_latency_high,post_only_clean,churn_normal,29,6,34,0,0,6,4,target clean observed fills in this decision-visible regime
quote_distance_family_coarsened,large_skew_or_low_score,add_side,near_touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,36,6,34,0,0,6,4,target clean observed fills in this decision-visible regime
