group_name,group_value,context_label,row_count,sample_count,positive_future_count,negative_future_count,direction_hit_rate,mean_future_mid_move_ticks,median_future_mid_move_ticks,wrong_way_count,wrong_way_rate,p95_wrong_way_loss_ticks,max_wrong_way_loss_ticks,max_sample_row_share,p95_wrong_way_improvement_vs_raw_ticks
sample_id,cross_exchange_public_sample_xemm_0603_quiet_a_event,basis_positive_raw_context,1647,1,486,60,0.89010989,16.63934426,0,60,0.03642987,121.5,180,1,-1.5
sample_id,cross_exchange_public_sample_xemm_0603_quiet_a_event,basis_positive_clean_context,1116,1,412,26,0.94063927,22.53136201,0,26,0.02329749,110,120,1,10
sample_id,cross_exchange_public_sample_xemm_0603_quiet_a_event,basis_positive_tail_risk_context,531,1,74,34,0.68518519,4.25612053,0,34,0.06403013,160.5,180,1,-40.5
sample_id,cross_exchange_public_sample_xemm_0603_quiet_b_event,basis_positive_raw_context,444,1,419,4,0.99054374,99.42567568,90,4,0.00900901,77,80,1,43
sample_id,cross_exchange_public_sample_xemm_0603_quiet_b_event,basis_positive_clean_context,293,1,281,0,1,116.55290102,110,0,0,,,1,
sample_id,cross_exchange_public_sample_xemm_0603_quiet_b_event,basis_positive_tail_risk_context,151,1,138,4,0.97183099,66.19205298,60,4,0.02649007,77,80,1,43
sample_id,cross_exchange_public_sample_xemm_0603_quiet_c_event,basis_positive_raw_context,334,1,304,5,0.98381877,117.38023952,90,5,0.01497006,156,170,1,-36
sample_id,cross_exchange_public_sample_xemm_0603_quiet_c_event,basis_positive_clean_context,208,1,196,2,0.98989899,131.94711538,102.5,2,0.00961538,29,30,1,91
sample_id,cross_exchange_public_sample_xemm_0603_quiet_c_event,basis_positive_tail_risk_context,126,1,108,3,0.97297297,93.33333333,70,3,0.02380952,163,170,1,-43
sample_id,xemm_0609_active_a_event,basis_positive_raw_context,873,1,370,7,0.98143236,22.65177549,0,7,0.00801833,40,40,1,80
sample_id,xemm_0609_active_a_event,basis_positive_clean_context,460,1,287,3,0.98965517,35.43478261,20,3,0.00652174,19,20,1,101
sample_id,xemm_0609_active_a_event,basis_positive_tail_risk_context,413,1,83,4,0.95402299,8.41404358,0,4,0.00968523,40,40,1,80
sample_id,xemm_0609_active_b_event,basis_positive_raw_context,801,1,493,15,0.97047244,30.917603,20,15,0.01872659,30,30,1,90
sample_id,xemm_0609_active_b_event,basis_positive_clean_context,507,1,372,3,0.992,39.47731755,30,3,0.00591716,19,20,1,101
sample_id,xemm_0609_active_b_event,basis_positive_tail_risk_context,294,1,121,12,0.90977444,16.15646259,0,12,0.04081633,30,30,1,90
sample_id,xemm_0609_normal_a_event,basis_positive_raw_context,524,1,315,0,1,37.44274809,10,0,0,,,1,
sample_id,xemm_0609_normal_a_event,basis_positive_clean_context,309,1,221,0,1,49.44983819,30,0,0,,,1,
sample_id,xemm_0609_normal_a_event,basis_positive_tail_risk_context,215,1,94,0,1,20.18604651,0,0,0,,,1,
sample_id,xemm_0609_normal_b_event,basis_positive_raw_context,1103,1,367,10,0.9734748,16.42792384,0,10,0.00906618,51,60,1,69
sample_id,xemm_0609_normal_b_event,basis_positive_clean_context,652,1,282,4,0.98601399,23.77300613,0,4,0.00613497,38.5,40,1,81.5
sample_id,xemm_0609_normal_b_event,basis_positive_tail_risk_context,451,1,85,6,0.93406593,5.80931264,0,6,0.01330377,52.5,60,1,67.5
