dimension,bucket,basis_positive_row_count,wrong_way_count,non_wrong_way_count,wrong_way_rate,wrong_way_share,sample_count,wrong_way_sample_count,mean_future_mid_move_ticks,p95_wrong_way_loss_ticks,max_wrong_way_loss_ticks,concentration_vs_overall_wrong_rate
spread_bucket,spread_10_20_ticks,2312,66,2246,0.02854671,0.95652174,3,3,41.80795848,142.5,180,1.00327215
spread_bucket,spread_gt_20_ticks,113,3,110,0.02654867,0.04347826,3,2,124.73451327,10,10,0.93305117
basis_magnitude_bucket,basis_positive_large,802,7,795,0.00872818,0.10144928,3,2,90.09975062,82,100,0.30675124
basis_magnitude_bucket,basis_positive_medium,778,20,758,0.02570694,0.28985507,3,2,29.4151671,120,120,0.90346857
basis_magnitude_bucket,basis_positive_small,845,42,803,0.04970414,0.60869565,3,3,18.47337278,169,180,1.74684847
binance_momentum_bucket,binance_momentum_negative_large,5,0,5,0,0,3,0,130,,,0
binance_momentum_bucket,binance_momentum_negative_medium,9,1,8,0.11111111,0.01449275,3,1,134.44444444,20,20,3.90499195
binance_momentum_bucket,binance_momentum_negative_small,6,0,6,0,0,3,0,145,,,0
binance_momentum_bucket,binance_momentum_positive_large,24,0,24,0,0,3,0,120.83333333,,,0
binance_momentum_bucket,binance_momentum_positive_medium,75,4,71,0.05333333,0.05797101,3,2,94.26666667,97,100,1.87439614
binance_momentum_bucket,binance_momentum_positive_small,29,1,28,0.03448276,0.01449275,3,1,101.89655172,30,30,1.21189405
binance_momentum_bucket,binance_momentum_zero,2277,63,2214,0.02766798,0.91304348,3,3,41.7654809,147,180,0.9723893
hl_top5_imbalance_bucket,hl_top5_imbalance_negative_small,359,31,328,0.08635097,0.44927536,3,3,37.10306407,160,180,3.03479876
hl_top5_imbalance_bucket,hl_top5_imbalance_positive_small,2066,38,2028,0.01839303,0.55072464,3,3,47.16118103,120,180,0.64642171
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_large,1,0,1,0,0,1,0,355,,,0
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_medium,8,1,7,0.125,0.01449275,3,1,157.5,10,10,4.39311594
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_small,350,30,320,0.08571429,0.43478261,3,3,33.44285714,161,180,3.01242236
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_large,5,0,5,0,0,3,0,131,,,0
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_medium,96,1,95,0.01041667,0.01449275,3,1,116.35416667,5,5,0.366093
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_small,1965,37,1928,0.01882952,0.53623188,3,3,43.56743003,120,180,0.66176199
join_age_bucket,join_age_0_50ms,2425,69,2356,0.02845361,1,3,3,45.67216495,138,180,1
visible_movement_bucket,visible_movement_nonzero,148,6,142,0.04054054,0.08695652,3,3,105.77702703,95,100,1.42479436
visible_movement_bucket,visible_movement_zero,2277,63,2214,0.02766798,0.91304348,3,3,41.7654809,147,180,0.9723893
sample_id,cross_exchange_public_sample_xemm_0603_quiet_a_event,1647,60,1587,0.03642987,0.86956522,1,1,16.63934426,121.5,180,1.28032523
sample_id,cross_exchange_public_sample_xemm_0603_quiet_b_event,444,4,440,0.00900901,0.05797101,1,1,99.42567568,77,80,0.31662097
sample_id,cross_exchange_public_sample_xemm_0603_quiet_c_event,334,5,329,0.01497006,0.07246377,1,1,117.38023952,156,170,0.52612167
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early,420,9,411,0.02142857,0.13043478,1,1,24.19047619,180,180,0.75310559
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_late,347,6,341,0.01729107,0.08695652,1,1,15.63400576,120,120,0.60769327
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_middle,880,45,835,0.05113636,0.65217391,1,1,13.43181818,112,150,1.79718379
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_b_event:window_early,220,3,217,0.01363636,0.04347826,1,1,99.61363636,78,80,0.47924901
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_b_event:window_late,113,1,112,0.00884956,0.01449275,1,1,96.46017699,15,15,0.31101706
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_b_event:window_middle,111,0,111,0,0,1,0,102.07207207,,,0
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_c_event:window_early,129,0,129,0,0,1,0,81.08527132,,,0
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_c_event:window_late,16,0,16,0,0,1,0,210.9375,,,0
coarse_time_window,cross_exchange_public_sample_xemm_0603_quiet_c_event:window_middle,189,5,184,0.02645503,0.07246377,1,1,134.23280423,156,170,0.92975999
