control_dimension,control_bucket,basis_group,row_count,sample_count,mean_future_mid_move_ticks,direction_hit_rate,basis_vs_nonpositive_delta_ticks,controlled_effect_classification
binance_momentum_bucket,binance_momentum_negative_large,basis_nonpositive,35,3,-60.71428571,0.21428571,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_large,basis_positive_large,3,2,168.33333333,1,229.04761905,controlled_increment_supported
binance_momentum_bucket,binance_momentum_negative_large,basis_positive_medium,1,1,70,1,130.71428571,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_large,basis_positive_small,1,1,75,1,135.71428571,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_medium,basis_nonpositive,168,3,-47.38095238,0.24242424,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_medium,basis_positive_large,7,3,165.71428571,1,213.0952381,controlled_increment_supported
binance_momentum_bucket,binance_momentum_negative_medium,basis_positive_medium,1,1,70,1,117.38095238,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_medium,basis_positive_small,1,1,-20,0,27.38095238,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_small,basis_nonpositive,53,3,-53.58490566,0.21428571,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_small,basis_positive_large,4,2,210,1,263.58490566,controlled_increment_supported
binance_momentum_bucket,binance_momentum_negative_small,basis_positive_medium,1,1,0,,53.58490566,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_small,basis_positive_small,1,1,30,1,83.58490566,watch_or_insufficient
binance_momentum_bucket,binance_momentum_positive_large,basis_nonpositive,19,2,-26.05263158,0.6,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_positive_large,basis_positive_large,13,3,185.76923077,1,211.82186235,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_large,basis_positive_medium,8,3,54.375,1,80.42763158,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_large,basis_positive_small,3,2,16.66666667,1,42.71929825,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_medium,basis_nonpositive,103,3,-7.03883495,0.55384615,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_positive_medium,basis_positive_large,40,3,127.625,0.94871795,134.66383495,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_medium,basis_positive_medium,16,3,34.6875,0.84615385,41.72633495,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_medium,basis_positive_small,19,3,74.21052632,1,81.24936127,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_small,basis_nonpositive,41,3,-3.53658537,0.54166667,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_positive_small,basis_positive_large,14,3,122.5,0.92857143,126.03658537,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_small,basis_positive_medium,8,3,118.75,1,122.28658537,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_small,basis_positive_small,7,3,41.42857143,1,44.96515679,controlled_increment_supported
