sample_id,source_row_index,future_row_index,hyperliquid_decision_ts,future_hyperliquid_decision_ts,effective_future_age_ms,effective_future_row_delta,context_basis_mid_ticks,basis_magnitude_bucket,hyperliquid_future_mid_move_ticks,wrong_way_loss_ticks,context_hyperliquid_spread_ticks,spread_bucket,input_binance_mid_move_ticks_from_prev,binance_momentum_bucket,context_hyperliquid_top5_imbalance,hl_top5_imbalance_bucket,context_hyperliquid_microprice_minus_mid_ticks,hl_microprice_minus_mid_bucket,context_hyperliquid_join_age_ms,join_age_bucket,visible_movement_bucket,coarse_time_window
cross_exchange_public_sample_xemm_0603_quiet_a_event,419,422,1780475609640397181,1780475611020428241,1380.03106,3,20.5,basis_positive_small,-60,60,10,spread_10_20_ticks,0,binance_momentum_zero,0.20955884,hl_top5_imbalance_positive_small,1.04779421,hl_microprice_minus_mid_positive_small,0.000000,join_age_0_50ms,visible_movement_zero,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early
cross_exchange_public_sample_xemm_0603_quiet_a_event,571,573,1780475691454314466,1780475692557780921,1103.466455,2,13.5,basis_positive_small,-5,5,20,spread_10_20_ticks,0,binance_momentum_zero,-0.49171497,hl_top5_imbalance_negative_small,-4.91714967,hl_microprice_minus_mid_negative_small,0.000000,join_age_0_50ms,visible_movement_zero,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early
cross_exchange_public_sample_xemm_0603_quiet_a_event,689,692,1780475755571388186,1780475757051143855,1479.755669,3,14.5,basis_positive_small,-180,180,10,spread_10_20_ticks,0,binance_momentum_zero,-0.01395879,hl_top5_imbalance_negative_small,-0.06979397,hl_microprice_minus_mid_negative_small,0.000000,join_age_0_50ms,visible_movement_zero,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early
cross_exchange_public_sample_xemm_0603_quiet_a_event,690,692,1780475755844547277,1780475757051143855,1206.596578,2,14.5,basis_positive_small,-180,180,10,spread_10_20_ticks,0,binance_momentum_zero,0.00309226,hl_top5_imbalance_positive_small,0.01546128,hl_microprice_minus_mid_positive_small,0.000000,join_age_0_50ms,visible_movement_zero,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early
cross_exchange_public_sample_xemm_0603_quiet_a_event,711,713,1780475767133991617,1780475768342855633,1208.864016,2,33.5,basis_positive_medium,-10,10,10,spread_10_20_ticks,0,binance_momentum_zero,0.83317979,hl_top5_imbalance_positive_small,4.16589896,hl_microprice_minus_mid_positive_small,0.000000,join_age_0_50ms,visible_movement_zero,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early
cross_exchange_public_sample_xemm_0603_quiet_a_event,730,732,1780475777493468751,1780475778570595845,1077.127094,2,14.5,basis_positive_small,-10,10,10,spread_10_20_ticks,0,binance_momentum_zero,0.1592425,hl_top5_imbalance_positive_small,0.79621249,hl_microprice_minus_mid_positive_small,0.000000,join_age_0_50ms,visible_movement_zero,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early
cross_exchange_public_sample_xemm_0603_quiet_a_event,768,770,1780475798087101169,1780475799230983650,1143.882481,2,25.5,basis_positive_medium,-10,10,10,spread_10_20_ticks,0,binance_momentum_zero,0.79987478,hl_top5_imbalance_positive_small,3.99937392,hl_microprice_minus_mid_positive_small,0.000000,join_age_0_50ms,visible_movement_zero,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early
cross_exchange_public_sample_xemm_0603_quiet_a_event,863,865,1780475849175945875,1780475850813308962,1637.363087,2,21.5,basis_positive_small,-80,80,10,spread_10_20_ticks,0,binance_momentum_zero,0.97560465,hl_top5_imbalance_positive_small,4.87802324,hl_microprice_minus_mid_positive_small,0.000000,join_age_0_50ms,visible_movement_zero,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early
cross_exchange_public_sample_xemm_0603_quiet_a_event,1011,1013,1780475929539571203,1780475930643147133,1103.57593,2,10.5,basis_positive_small,-10,10,10,spread_10_20_ticks,0,binance_momentum_zero,-0.4561463,hl_top5_imbalance_negative_small,-2.28073148,hl_microprice_minus_mid_negative_small,0.000000,join_age_0_50ms,visible_movement_zero,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_early
cross_exchange_public_sample_xemm_0603_quiet_a_event,1217,1219,1780476040612191139,1780476041888169560,1275.978421,2,15.5,basis_positive_small,-30,30,10,spread_10_20_ticks,0,binance_momentum_zero,-0.90316377,hl_top5_imbalance_negative_small,-4.51581886,hl_microprice_minus_mid_negative_small,0.000000,join_age_0_50ms,visible_movement_zero,cross_exchange_public_sample_xemm_0603_quiet_a_event:window_middle
