category,key,count,share_pct
source_channel,trades,487,81.30217
source_channel,l2Book,112,18.69783
freshness_source,real_bbo_history_touch_stability,502,83.806344
freshness_source,real_bbo_history_insufficient,56,9.348915
freshness_source,real_bbo_history_stale,39,6.510851
freshness_source,synthetic_current_event_only,2,0.33389
fresh_touch_evidence_status,pass,502,83.806344
fresh_touch_evidence_status,block,97,16.193656
top_reset_status,missing,285,47.579299
top_reset_status,reset_supported,198,33.055092
top_reset_status,not_reset,116,19.365609
top_reset_reason,no_prior_same_touch_bbo,283,47.245409
top_reset_reason,same_touch_top_qty_or_order_count_reduced,198,33.055092
top_reset_reason,history_present_no_reset,116,19.365609
top_reset_reason,bbo_history_too_sparse,2,0.33389
public_depletion_status,touched_quote_without_depletion,256,42.737896
public_depletion_status,depleted_top_plus_order_proxy,153,25.542571
public_depletion_status,not_depleted,134,22.370618
public_depletion_status,strict_trade_through_seen_but_visible_top_not_depleted,32,5.342237
public_depletion_status,depleted_visible_top_proxy_only,24,4.006678
skip_reason_atom,missing_same_side_strict_through_support,436,58.839406
skip_reason_atom,missing_recent_same_side_at_or_through_throughput,134,18.083671
skip_reason_atom,missing_touch_freshness_or_queue_reset_evidence,97,13.090418
skip_reason_atom,outside_quality_a_b_queue_bands,74,9.986505
skip_reason_combo,missing_same_side_strict_through_support,252,47.457627
skip_reason_combo,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,108,20.338983
skip_reason_combo,outside_quality_a_b_queue_bands,74,13.93597
skip_reason_combo,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,50,9.416196
skip_reason_combo,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,26,4.896422
skip_reason_combo,missing_touch_freshness_or_queue_reset_evidence,21,3.954802
