artifact,sha256
run_intent_marker.json,bcd86577622e41e3b7f4a58c5a751b886bdde3e7a0eaa6b6894957968cb2ce88
approved_config_snapshot.json,1383aecf41fc8109a779ef8b854e9b43096f3981c15385890f3c7f80ccbd5c4f
environment_dependency_snapshot.json,745a76c9a6219b4b714546fe658f6894476993c1b99d6fc0d688cf85766a545b
official_doc_recheck_summary.csv,cdf8e3b2710581da22569a173588942b333c86f6f769fa77e7477370bd46a864
precision_tick_lot_snapshot.csv,f03e925f1ea5091acf639f01d753354917a300051ea3cdc87d278395619cfca3
preflight_validation_summary.csv,c7299e7a7c42012cf20c4b807c18675d79fc7db33e14667000018c50b667656c
order_intent_audit.csv,5b35561c22fc36a30aa65b8dd117649ef263534c948345162fe7e1e18ab03b9f
private_order_response_audit.json,d322a5915af102b6a79e02d63fa43844cf78286d9cf14d3436e870d120261d37
cancel_shutdown_proof.json,7056dbff070061928dfe2e85d381309772cccb949270a6b7002e7d482ed59ece
max_loss_monitor_summary.json,550523c4187f62bc0729a2626d1c327b713eef2d9ee53634503ce8bce88851de
final_safety_summary.json,e5469e11e1e209c6cec80ae7d5d4fb78b91742ded7003f09f96dd5c375a88b19
boundary_validation.csv,9626f13dca87ddf2fdc4d04ee71b0129610332d3e4979c0954f78f278d0402b3
README.md,16c870356f5f3938b6e1fd8878d0da85ee7d9d8c5fbb18e38bec5a168274cbdf
executor_manifest.json,3d3faf688c4ddea0eac367a389682abd5f22793400f1b78511c728a603c3653e
