regime_id,feature,feature_scope,variant,threshold_abs_top_quartile,row_count,sample_count,positive_future_count,negative_future_count,direction_hit_rate,mean_signed_future_move_ticks,mean_abs_future_move_ticks,p05_signed_future_move_ticks,p95_signed_future_move_ticks,sample_direction_consistency,effect_concentration_ratio,stability_classification,visibility_classification,redundancy_classification,leakage_risk,net_edge_proxy_ticks,cost_adjusted_viability,tail_risk_classification,signal_validity,watch_horizon_100ms_row_count,watch_horizon_250ms_row_count,diagnostic_horizon_5000ms_row_count,diagnostic_horizon_10000ms_row_count,diagnostic_horizon_5000ms_mean_signed_ticks,diagnostic_horizon_10000ms_mean_signed_ticks
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,optional_diagnostic_comparison,sign_positive,7.42,242,3,124,118,0.51239669,-0.92975207,72.08677686,-174.5,164.75,0.66666667,0.42975207,invalid_unstable,decision_time_visible,not_highly_redundant,none_detected,-8.07024793,net_edge_negative_proxy,tail_risk_reject,invalid_tail_or_cost_reject,242,242,242,242,-7.7892562,-28.42975207
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,fixed_t003_observed,sign_negative,209.25,185,3,70,115,0.62162162,-31.27027027,63.75675676,-197,89,1,0.47567568,stable_all_samples,contract_caveated_diagnostic_context_only,not_highly_redundant,none_detected,22.27027027,net_edge_plausible_proxy,tail_risk_reject,invalid_not_decision_visible,185,185,185,185,-51.48648649,-74.97297297
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,fixed_t003_observed,sign_positive,9.9940522,133,3,112,21,0.84210526,51.91729323,66.12781955,-53,225,1,0.44360902,stable_all_samples,decision_time_visible,high_redundancy,none_detected,42.91729323,net_edge_plausible_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,133,133,133,133,67.36842105,72.36842105
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,fixed_t003_observed,sign_positive,0.99940522,133,3,112,21,0.84210526,51.91729323,66.12781955,-53,225,1,0.44360902,stable_all_samples,decision_time_visible,high_redundancy,none_detected,42.91729323,net_edge_plausible_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,133,133,133,133,67.36842105,72.36842105
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,fixed_t003_observed,sign_negative,0.39002719,123,3,46,77,0.62601626,-32.03252033,70.97560976,-205,95,1,0.51219512,stable_all_samples,decision_time_visible,high_redundancy,none_detected,23.03252033,net_edge_plausible_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,123,123,123,123,-56.30081301,-76.13821138
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,fixed_t003_observed,sign_negative,0.7800544,123,3,46,77,0.62601626,-32.03252033,70.97560976,-205,95,1,0.51219512,stable_all_samples,decision_time_visible,high_redundancy,none_detected,23.03252033,net_edge_plausible_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,123,123,123,123,-56.30081301,-76.13821138
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,fixed_t003_observed,sign_positive,0.39002719,119,3,78,41,0.65546218,31.21848739,73.23529412,-105,227,1,0.50420168,stable_all_samples,decision_time_visible,high_redundancy,none_detected,22.21848739,net_edge_plausible_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,119,119,119,119,42.35294118,20.88235294
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,fixed_t003_observed,sign_positive,0.7800544,119,3,78,41,0.65546218,31.21848739,73.23529412,-105,227,1,0.50420168,stable_all_samples,decision_time_visible,high_redundancy,none_detected,22.21848739,net_edge_plausible_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,119,119,119,119,42.35294118,20.88235294
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,fixed_t003_observed,sign_negative,9.9940522,109,3,12,97,0.88990826,-65.41284404,79.35779817,-208,51,1,0.46788991,stable_all_samples,decision_time_visible,high_redundancy,none_detected,56.41284404,net_edge_plausible_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,109,109,109,109,-99.49541284,-151.42201835
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,fixed_t003_observed,sign_negative,0.99940522,109,3,12,97,0.88990826,-65.41284404,79.35779817,-208,51,1,0.46788991,stable_all_samples,decision_time_visible,high_redundancy,none_detected,56.41284404,net_edge_plausible_proxy,tail_risk_reject,invalid_redundant_or_leakage_risk,109,109,109,109,-99.49541284,-151.42201835
