regime_id,feature,variant,sample_id,row_count,mean_signed_future_move_ticks,sample_sign_matches_pattern_majority
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_a_event,22,61.81818182,1
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_b_event,19,100,1
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_c_event,16,143.75,1
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_a_event,17,-55.88235294,1
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_b_event,80,-34.9375,1
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,sign_negative,cross_exchange_public_sample_xemm_0603_quiet_c_event,88,-23.18181818,1
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_a_event,1,-205,1
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_b_event,19,-96.57894737,1
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,abs_top_quartile,cross_exchange_public_sample_xemm_0603_quiet_c_event,41,-69.87804878,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_a_event,21,64.04761905,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_b_event,59,39.74576271,1
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,sign_positive,cross_exchange_public_sample_xemm_0603_quiet_c_event,53,60.66037736,1
