schema_component,component_category,required_status,source_or_lineage,allowed_content,forbidden_content,validator_requirement_reference
schema_metadata,schema_metadata,required,T005 manifest,"Task id, schema version, generated-at timestamp, source task references, final recommendation, boundary flags.","No executable trigger, no row-level entries, no shadow decision, no live or deployment instruction.",reject_executable_or_live_authorization_language
lineage_references,schema_metadata,required,T002/T003/T004 artifacts,"Artifact paths and QA status references for accepted upstream public observation-layer evidence.","No new collection instruction, no remote execution instruction, no private/account/order endpoint reference.",reject_private_order_or_collection_scope_expansion
evidence_snapshot,schema_metadata,required,T003/T004 aggregate metrics,"Aggregate rows, sample count, p95 wrong-way loss, max sample share, and gate status.","No row-level case rows and no per-row case catalog.",reject_row_level_entry_generation
field_contract_reference,field_contract_reference,required,T004 case_field_contract.csv,"Inherited field taxonomy: decision-time context, diagnostic context, future labels, execution-gap references.","No new trading action fields, no order side, no quote price, no quote size.",reject_action_field_definitions
decision_time_visible_context_fields,field_contract_reference,allowed,T004 decision_time_visible_context,"Read-only context metadata and design rationale fields inherited from T004.","No executable trigger, no order side, no quote price or quote size.",reject_executable_trigger_fields
diagnostic_context_fields,field_contract_reference,allowed,T004 diagnostic_context,"Diagnostic and gate-check fields only.","No production live gate, no deployment rule, no parameter-search input.",reject_diagnostic_to_strategy_upgrade
read_only_label_contract,read_only_label_contract,required,T004 case_label_contract.csv,"Read-only design labels and definitions, including basis_positive_clean_context.","No case-library trigger, no shadow decision, no trading instruction.",reject_label_as_trigger_or_shadow_decision
future_label_research_outputs,future_label_research_output,allowed,T004 future_label_for_research_only,"Offline outcome labels such as horizon_ms, effective future row delta, and future mid move.","No input feature use, no filter condition, no trigger, no shadow decision field.",reject_future_label_as_input
validator_requirement_reference,schema_metadata,required,T005 validator_requirements.csv,"Design-only list of validator checks for a later task.","No executable validator implementation in T005.",reject_validator_code_in_schema_task
acceptance_gate_reference,schema_metadata,required,T005 schema_acceptance_gate.md,"QA gates and evidence gates for any later schema discussion.","No automatic approval for row-level artifact generation.",reject_implicit_row_level_authorization
reject_condition_reference,schema_metadata,required,T005 schema_reject_conditions.csv,"Reject conditions for forbidden behavior and evidence overclaim.","No override of T004 boundary.",reject_boundary_override
execution_gap_reference,execution_gap_reference,required,T004 execution gap map and T005 boundary register,"Explicit unproven execution-layer gaps and future-evidence boundary.","No claim that fill probability, queue, post-only, cancel-fill, fees, inventory, or real order lifecycle is proven.",reject_execution_layer_proof_overclaim
row_level_case_entries,forbidden_component,forbidden,T005 boundary,"None in T005.","Any generated row-level case entry, case catalog row, or per-row case output.",reject_row_level_entry_generation
case_catalog,forbidden_component,forbidden,T005 boundary,"None in T005.","Any case catalog generated from source rows.",reject_case_catalog_generation
shadow_decisions,forbidden_component,forbidden,T005 boundary,"None in T005.","Any shadow side, action, order, quote, size, or decision output.",reject_shadow_decision_generation
executable_triggers,forbidden_component,forbidden,T005 boundary,"None in T005.","Any trigger condition capable of driving strategy or order behavior.",reject_executable_trigger_fields
strategy_private_order_live_components,forbidden_component,forbidden,T005 boundary,"None in T005.","Any strategy implementation, private/account/order endpoint, order lifecycle, live/default-on/tiny-live, parameter search, promotion, or deployment recommendation.",reject_strategy_private_order_live_or_promotion
