capture_id,research_date,role,side,cross_ts_ns,detect_ts_ns,detection_delay_ms,obi_at_detection,remaining_ms
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313681700000000,1785313682700000000,1000,0.7898043062195618,1765300
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313736400000000,1785313737700000000,1300,-0.8966779908252412,1710300
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313768200000000,1785313769100000000,900,0.5897436012931947,1678900
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313777500000000,1785313779300000000,1800,-0.649572655538053,1668700
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313779400000000,1785313780800000000,1400,0.6150845122219769,1667200
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313871300000000,1785313874400000000,3100,-0.9077776583841084,1573600
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313891000000000,1785313894300000000,3300,0.8718662953624341,1553700
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313897300000000,1785313899000000000,1700,-0.7413937959705487,1549000
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785313902500000000,1785313903400000000,900,0.6430155134886403,1544600
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785313961300000000,1785313963800000000,2500,-0.8484349157603056,1484200
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314008000000000,1785314008900000000,900,0.6345601920828713,1439100
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314012400000000,1785314013700000000,1300,-0.7973094109729544,1434300
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314049500000000,1785314051000000000,1500,0.6913494977111914,1397000
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314051200000000,1785314053900000000,2700,-0.5192033969353587,1394100
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314062400000000,1785314063300000000,900,0.8820608316246061,1384700
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314067000000000,1785314068000000000,1000,-0.5742725783352562,1380000
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314068200000000,1785314069800000000,1600,0.7161885110457367,1378200
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314072400000000,1785314073300000000,900,-0.933615076439446,1374700
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314088300000000,1785314089400000000,1100,0.7247801433964908,1358600
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314091400000000,1785314093700000000,2300,-0.8583638568538067,1354300
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314093800000000,1785314094700000000,900,0.8804257182291523,1353300
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314114200000000,1785314116900000000,2700,-0.7757909228957253,1331100
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314129500000000,1785314130600000000,1100,0.7965821427861447,1317400
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314134400000000,1785314135300000000,900,-0.8126829280301775,1312700
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314154400000000,1785314156000000000,1600,0.6192307731914907,1292000
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314170400000000,1785314171700000000,1300,-0.795190070957565,1276300
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314177000000000,1785314179800000000,2800,0.551912591008996,1268200
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314197700000000,1785314199800000000,2100,-0.8215053814341741,1248200
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314220600000000,1785314223400000000,2800,0.6827133573123111,1224600
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314283000000000,1785314285600000000,2600,-0.889962825627646,1162400
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314327500000000,1785314328800000000,1300,0.8210712085666513,1119200
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314368200000000,1785314369300000000,1100,-0.748892179120649,1078700
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314390400000000,1785314392300000000,1900,0.8721437775883355,1055700
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314396700000000,1785314397600000000,900,-0.6745479740062605,1050400
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314402300000000,1785314404800000000,2500,0.888443008929701,1043200
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314456500000000,1785314459400000000,2900,-0.6956829364819731,988600
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314479800000000,1785314483900000000,4100,0.6792668792619618,964100
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,-1,1785314489500000000,1785314491600000000,2100,-0.8826159877889936,956400
2026-07-29_0540d8311fc2,2026-07-29,historical_normalization_calibration,1,1785314512300000000,1785314515700000000,3400,0.7686939053903271,932300
