row_id,sample_id,observed_regime,decision_id,action,block_reason,signal_status,signal_score,signal_abs_z,side,fair_mid_px,quote_px,edge_ticks,required_edge_ticks,quote_type,time_in_force,post_only,future_mid_move_ticks,signed_markout_ticks,adjusted_counterfactual_edge_ticks,source_age_bucket,basis_bucket,warning_bucket,order_endpoint_called,private_endpoint_called,credential_read
2,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:2,would_submit,,pass,-1.04427073,1.04427073,sell,60095.08229171,60096,9.17708292,1.5,touch,Alo,True,-5,5,3.5,binance_source_age_low,basis_mid,False,False,False,False
44,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:44,would_submit,,pass,1.0405721,1.0405721,buy,60067.91622884,60067,9.1622884,1.5,touch,Alo,True,50,50,48.5,binance_source_age_high,basis_high,False,False,False,False
47,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:47,would_submit,,pass,-1.10387114,1.10387114,sell,60079.55845154,60082,24.41548456,1.5,touch,Alo,True,15,-15,-16.5,binance_source_age_low,basis_high,False,False,False,False
59,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:59,would_submit,,pass,-1.09361604,1.09361604,sell,60087.06255358,60088,9.37446416,1.5,touch,Alo,True,-70,70,68.5,binance_source_age_mid,basis_low,False,False,False,False
73,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:73,would_submit,,pass,1.0988576,1.0988576,buy,60074.93954304,60074,9.3954304,1.5,touch,Alo,True,50,50,48.5,binance_source_age_high,basis_high,False,False,False,False
90,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:90,would_submit,,pass,-1.05126246,1.05126246,sell,60092.07949502,60093,9.20504984,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_high,basis_high,False,False,False,False
91,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:91,would_submit,,pass,-4.46126285,4.46126285,sell,60090.71549486,60093,22.8450514,1.5,touch,Alo,True,0,-0,-1.5,binance_source_age_low,basis_mid,False,False,False,False
95,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:95,would_submit,,pass,-4.14644255,4.14644255,sell,60090.84142298,60093,21.5857702,1.5,touch,Alo,True,-110,110,108.5,binance_source_age_mid,basis_low,False,False,False,False
113,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:113,would_submit,,pass,-1.00725401,1.00725401,sell,60076.0970984,60077,9.02901604,1.5,touch,Alo,True,-50,50,48.5,binance_source_age_low,basis_low,False,False,False,False
118,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:118,would_submit,,pass,-1.12031276,1.12031276,sell,60064.0518749,60065,9.48125104,1.5,touch,Alo,True,-40,40,38.5,binance_source_age_high,basis_high,False,False,False,False
