schema_version,task_id,sample_sequence,monotonic_ns,audit_utc_ns,server_time_ms,best_bid,best_ask,mid_price
skhynix_c6in_latency_v2,0822T002,1,592377564836741,1787452101252149045,1787452100941,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,2,592378018840429,1787452101706153398,1787452101467,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,3,592378587961359,1787452102275272097,1787452102066,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,4,592379102512662,1787452102789824404,1787452102553,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,5,592379728102414,1787452103415414119,1787452103141,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,6,592380236675118,1787452103923985561,1787452103690,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,7,592380753013695,1787452104440321480,1787452104230,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,8,592381315813377,1787452105003123821,1787452104787,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,9,592381842570971,1787452105529880376,1787452105311,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,10,592382419354559,1787452106106665359,1787452105856,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,11,592382921848648,1787452106609158864,1787452106392,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,12,592383524590224,1787452107211901610,1787452106980,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,13,592384061408321,1787452107748719923,1787452107496,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,14,592384599251312,1787452108286562040,1787452108045,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,15,592385077148582,1787452108764460260,1787452108554,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,16,592385628617226,1787452109315929059,1787452109090,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,17,592386150703353,1787452109838015012,1787452109633,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,18,592386745726907,1787452110433038565,1787452110216,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,19,592387480235413,1787452111167546570,1787452110776,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,20,592387870521512,1787452111557833255,1787452111286,1253.8,1253.9,1253.85
skhynix_c6in_latency_v2,0822T002,21,592388451024306,1787452112138335307,1787452111892,1253.7,1253.8,1253.75
skhynix_c6in_latency_v2,0822T002,22,592388991829777,1787452112679140915,1787452112441,1253.7,1254.0,1253.85
skhynix_c6in_latency_v2,0822T002,23,592389553841908,1787452113241153925,1787452112984,1253.7,1253.9,1253.8
skhynix_c6in_latency_v2,0822T002,24,592390041516001,1787452113728827680,1787452113510,1253.7,1253.9,1253.8
skhynix_c6in_latency_v2,0822T002,25,592390652794345,1787452114340106183,1787452114117,1253.7,1253.9,1253.8
skhynix_c6in_latency_v2,0822T002,26,592391118839598,1787452114806150559,1787452114597,1253.7,1253.9,1253.8
