attempt,event_sequence,retry_after_post_only_reject,source_channel,source_event_exchange_time_ms,open_orders_before_count,post_open_orders_public_state_seq,post_open_orders_l2_state_seq,post_open_orders_state_observed_after_end,guard_status,guard_reason,fair_mid_px,quote_px,edge_ticks,signal_age_ms,fee_buffer_ticks,adverse_selection_buffer_ticks,edge_gate_status,edge_gate_reason,submit_intent_bid,submit_intent_ask,side,limit_px,size_btc,notional_usdc,post_only_tif,order_endpoint_called,order_status_types,post_only_reject,fill_count_after_attempt,maker_fill_count_after_attempt,tracked_ref_count,cancel_endpoint_called,final_open_orders_count_after_attempt,shutdown_proof_status,quote_aging_guard_status,quote_aging_guard_reason,skip_reason
1,494,False,trades,1784010766070,0,495,495,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,62700.0,62701.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
1,990,False,trades,1784010953293,0,992,992,True,edge_gate_block,fair_mid_source_stale,,62751.0,,,2.0,5.0,block,fair_mid_source_stale,62751.0,62752.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
1,1094,False,trades,1784010985828,0,1097,1097,True,edge_gate_block,edge_below_required_buffer,62746.100000000006,62746.0,0.1,55,2.0,5.0,block,edge_below_required_buffer,62746.0,62747.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
1,1112,False,trades,1784010990576,0,1119,1119,True,edge_gate_block,fair_mid_source_stale,,62739.0,,,2.0,5.0,block,fair_mid_source_stale,62739.0,62740.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
1,1272,False,trades,1784011057435,0,1280,1280,True,edge_gate_block,edge_below_required_buffer,62707.899999999994,62722.0,-14.1,30,2.0,5.0,block,edge_below_required_buffer,62722.0,62723.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
1,1280,False,trades,1784011060791,0,1289,1289,True,edge_gate_block,fair_mid_source_stale,,62720.0,,,2.0,5.0,block,fair_mid_source_stale,62720.0,62721.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
1,1289,False,trades,1784011064147,0,1300,1300,True,edge_gate_block,edge_below_required_buffer,62698.8,62712.0,-13.2,22,2.0,5.0,block,edge_below_required_buffer,62712.0,62713.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
1,1291,False,trades,1784011064616,0,1303,1303,True,edge_gate_block,fair_mid_source_stale,,62706.0,,,2.0,5.0,block,fair_mid_source_stale,62706.0,62707.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
1,1305,False,trades,1784011070498,0,1318,1318,True,edge_gate_block,edge_below_required_buffer,62698.3,62700.0,-1.7,98,2.0,5.0,block,edge_below_required_buffer,62700.0,62701.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
1,1322,False,trades,1784011078967,0,1336,1336,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,62698.0,62699.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
1,1428,False,trades,1784011121561,0,1443,1443,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,62692.0,62693.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
