reject_condition,condition_type,required_action
attempts_executable_trigger,forbidden_behavior,"Reject the case-design direction; executable triggers are out of scope."
attempts_row_level_case_library_entries,forbidden_behavior,"Reject the direction until a separate task explicitly authorizes only read-only row-level artifacts."
attempts_shadow_decision_generation,forbidden_behavior,"Reject the direction; shadow decisions are not authorized."
attempts_private_account_endpoint_use,forbidden_behavior,"Reject the direction; private/account endpoint use is forbidden."
attempts_order_endpoint_use,forbidden_behavior,"Reject the direction; order endpoints are forbidden."
attempts_order_lifecycle_logic,forbidden_behavior,"Reject the direction; submit/cancel/fill lifecycle logic is forbidden."
attempts_strategy_implementation,forbidden_behavior,"Reject the direction; strategy implementation is forbidden."
attempts_live_or_default_on_or_tiny_live,forbidden_behavior,"Reject the direction; live/default-on/tiny-live behavior is forbidden."
attempts_parameter_search,forbidden_behavior,"Reject the direction; parameter search is forbidden."
attempts_promotion_or_deployment_recommendation,forbidden_behavior,"Reject the direction; promotion and deployment recommendations are forbidden."
uses_future_label_as_input_or_trigger,field_misuse,"Reject the design until future labels are removed from inputs/triggers."
clean_context_sample_count_below_7,evidence_gate_failure,"Reject or return to public-sample validation; sample coverage gate failed."
clean_context_max_sample_share_at_or_above_0_40,evidence_gate_failure,"Reject or return to public-sample validation; concentration gate failed."
clean_p95_wrong_way_improvement_not_positive,evidence_gate_failure,"Reject filtered context viability; tail-risk improvement gate failed."
sample_horizon_or_conditioning_negative_mean_reversal,evidence_gate_failure,"Reject or downgrade to context-only watch; stability gate failed."
claims_execution_layer_proof_without_qa,evidence_boundary_failure,"Reject the direction; execution-layer evidence requires separate task and QA."
